"MFR
No",Item,"Catalog
No",DESCRIPTION,"Quantity
Standard Pkg","Unit
Measure",DIST PRICE,TRADE PRICE,,,,
780730,00104,104,16 GA TIE WIRE 3.5 LBS 360 FT GALVANIZED,10,E,$7.15,$14.30 ,,,,
780730,99708,104-PVC,TIE WIRE16GA PVC COATED 3 .5 LBS 360',10,E,$7.70,$15.40 ,,,,
780730,00105,105,12 GA JACK CHAIN 100' SPOOL WORK LOAD 29LBS,1,E,$18.62,$37.24 ,33.70,29.79,,
780730,00106,106,12 GA JACK CHAIN 1000' BUCKET WORK LOAD 29 LBS,1,E,$186.20,$372.40 ,,,,
780730,00107,107,10 GA JACK CHAIN 100' BOX  WORK LOAD 43 LBS,1,E,$28.75,$57.50 ,,,,
780730,00108,108,10 GA JACK CHAIN 500' BUCKET WORK LOAD 43 LBS,1,E,$143.75,$287.50 ,,,,
780730,00110,110,"1/2"" CONDUIT BODY GASKET",100,C,$18.68,$37.36 ,,,,
780730,00111,111,"3/4"" CONDUIT BODY GASKET",100,C,$22.68,$45.36 ,,,,
780730,00112,112,"1""CONDUIT BODY GASKET",50,C,$37.35,$74.70 ,,,,
780730,00113,113,"1 1/4""- 1 1/2"" CONDUIT BODY GASKET",50,C,$48.03,$96.06 ,,,,
780730,00114,114,"2"" CONDUIT BODY GASKET",25,C,$112.06,$224.12 ,,,,
780730,00115,115,"2 1/2""-3"" CONDUIT BODY GASKET",25,C,$168.00,$336.00 ,,,,
780730,00116,116,"3 1/2""-4"" CONDUIT BODY GASKET",25,C,$322.00,$644.00 ,,,,
780730,00120,120,RUBBER PIG TAIL,50,C,$124.73,$249.46 ,,,,
780730,00121,121,PORC KEYLESS LAMPHOLDER,50,C,$133.70,$267.40 ,,,,
780730,00122,122,PORC PULLCHAIN LAMPHOLDER,50,C,$244.38,$488.76 ,,,,
780730,00123,123,PLASTIC KEYLESS LAMPHOLDER,100,C,$143.75,$287.50 ,2.36,2.44,2.59,
780730,00124,124,PLASTIC PULLCHAIN LAMPHOLDER,100,C,$255.88,$511.76 ,4.24,,,
780730,00220,220,"3/4"" X 22' RUBBER SPICING TAPE",100,C,$193.60,$387.20 ,,,,
780730,00221,221,"2"" X 22' RUBBER SPICING TAPE",50,C,$454.30,$908.60 ,,,,
780730,00222,222,"3/4"" X 60' FRICTION TAPE",100,C,$203.50,$407.00 ,,,,
780730,00223,223,"2"" X 60' FRICTION TAPE",25,C,$583.00,"$1,166.00 ",,,,
780730,00224,224,"3/4"" X 60' PVC BLACK TAPE",250,C,$56.18,$112.36 ,,1.10,0.99,
780730,00225,225,"3/4"" X 60' PVC RED TAPE",100,C,$65.17,$130.34 ,,,,
780730,00226,226,"3/4"" X 60' PVC WHITE TAPE",100,C,$65.17,$130.34 ,,,,
780730,00227,227,"3/4"" X 60' PVC BLUE TAPE",100,C,$65.17,$130.34 ,,,,
780730,00228,228,"3/4"" X 60' PVC GREEN TAPE",100,C,$65.17,$130.34 ,,,,
780730,99229,229,"3/4"" X 60' PVC ORANGE TAPE",100,C,$65.17,$130.34 ,,,,
780730,00230,230,"3/4"" X 60' PVC YELLOW TAPE",100,C,$65.17,$130.34 ,,,,
780730,00231,231,"3/4"" X60' PVC BROWN TAPE",100,C,$65.17,$130.34 ,,,,
780730,00232,232,"3/4"" X 60' PVC GRAY TAPE",100,C,$65.17,$130.34 ,,,,
780730,00233,233,"2"" X 60 YDS GRAY DUCT TAPE",24,C,$352.80,$705.60 ,,,,
780730,18058,310,"1/2"" 3PC KO SEAL",100,C,$35.09,$70.18 ,,,,
780730,18060,311,"3/4"" 3PC KO SEAL",100,C,$43.45,$86.90 ,,,,
780730,18061,312,"1"" 3PC KO SEAL",50,C,$60.93,$121.86 ,,,,
780730,18062,313,"1 1/4"" 3PC KO SEAL",50,C,$78.17,$156.34 ,,,,
780730,18064,314,"1 1/2"" 3PC KO SEAL",50,C,$126.15,$252.30 ,,,,
780730,18066,315,"2"" 3PC KO SEAL",50,C,$154.15,$308.30 ,,,,
780730,00353,353,"3/8-16 TOP BEAM CLAMP 3/4""FLANGE",50,C,$78.96,$157.92 ,,,,
780730,00354,354,"3/8-16 TOP BEAM CLAMP 1 1/4"" FLANGE",50,C,$147.42,$294.84 ,,,,
780730,00360,360,"1/2-13 TOP BEAM CLAMP 3/4"" FLANGE",50,C,$134.95,$269.90 ,,,,
780730,00361,361,"1/2-13 TOP BEAM CLAMP 1 1/4"" FLANGE",50,C,$179.18,$358.36 ,,,,
780730,00410,410,"1/2"" SNAP-IN KO SEAL",100,C,$15.04,$30.08 ,0.36,,,
780730,00411,411,"3/4"" SNAP-IN KO SEAL",100,C,$15.68,$31.36 ,0.42,,,
