Item Number,UPC Code,List Price Per 100,Net Price Per 100,Carton Qty,Carton Wt,Description,,,,,,,
1096-N,10085339244148,101.63,48.96,100,34.00,SINGLE GANG 18CU,,,,,,,
1098-N,10085339250019,102.80,57.47,100,34.00,SINGLE GANG 20.5CU,,1.08,88.42,86.20,82.24,78.88,92.52c
1098-Z2,10085339250309,262.57,168.86,50,27.50,SINGLE GANG 20.5CU,,,,,,,
1098-Z4,10085339250408,262.57,168.86,50,27.50,SINGLE GANG 20.5CU,,2.96,,,,,
1099-N,10085339260001,123.22,63.63,100,39.00,SINGLE GANG 22.5CU.,,1.28,,,,,
1099-NR,10085339260094,164.41,105.73,50,19.00,SINGLE GANG 22.5CU,,,,,,,
1099-NV,10085339260070,509.95,327.95,48,20.64,SINGLE GANG 22.5CU VAPOR SEAL,,,,,,,
1099-NV2,10085339260155,586.44,377.14,48,20.16,SINGLE GANG 22.5 CU VAPOR SEAL DBL DRYWALL,,,,,,,
1099-SS,10085339260018,188.06,120.94,100,38.00,SINGLE GANG 22.5CU,,,,,,,
1099-Z4,10085339260032,265.85,170.97,50,29.00,SINGLE GANG 22.5CU,,,,,,,
1K-100,10085339880117,10.74,8.05,100,1.00,ACCESSORY KLAMP,,,,,,,
1TP,10085339880155,"3,956.35","2,967.26",1,1.00,ACCESSORY TEMPLATE DWG 80049,,,,,,,
1TP MOD,10085339880179,"3,127.55","2,345.66",1,1.00,ACCESSORY 1 TP TEMPLATE MODIFIED,,,,,,,
2300-NK,10085339121272,354.48,212.79,48,27.84,TWO GANG 32.5CU.,,3.96,3.72,319.18,326.48,,4.24
2300-Z2K,10085339124013,555.77,357.42,48,36.96,TWO GANG 32.5CU,,,,,,,
2300-Z4K,10085339127014,555.77,357.42,48,36.48,TWO GANG 32.5CU.,,,,,,,
2302-HNKV2,10085339927119,"1,031.17",663.15,6,4.80,TWO GANG 37.0CU 2302 VAPORSEAL W/ HANGER,,,,,,,
2302-NK,10085339130755,382.98,246.29,48,30.24,TWO GANG 37.0CU.,,4.36,4.14,369.44,,,
2302-NKRED,10085339965012,473.90,304.77,12,7.68,TWO GANG 37.0CU. RED,,,,,,,
2302-NKV,10085339130779,800.07,514.53,48,32.64,TWO GANG 37CU NAIL KLAMP VAPOR SEAL,,,,,,,
2302-SSK,10085339130816,485.93,312.50,48,29.76,TWO GANG 37CU STEEL STUD KLAMP,,,,,,,
2302-Z4K,10085339130830,594.63,382.41,48,38.88,TWO GANG 37.0CU.,,,,,,,
2TP,10085339880162,"3,956.35","2,544.33",1,1.00,ACCESSORY TEMPLATE,,,,,,,
2TP MOD,10085339880186,"3,127.55","2,011.33",1,1.00,ACCESSORY 2TP TEMPLATE MODIFIED,,,,,,,
3300-2Z2,10085339147005,551.95,354.96,25,25.50,THREE GANG 46.0CU.,,,,,,,
3300-NBK,10085339142123,717.68,461.54,20,21.40,THREE GANG 46.0CU.,,,,,,,
3300-NK,10085339141775,501.49,308.54,20,15.20,THREE GANG 46.0CU,,5.84,5.48,476.42,,,6.16
3300-Z2BK,10085339145971,901.39,579.68,20,24.80,THREE GANG 46.0CU.,,,,,,,
3300-Z2K,10085339145629,740.04,475.92,25,23.25,THREE GANG 46.0CU.,,,,,,,
3300-Z4K,10085339150173,740.04,475.92,24,21.60,THREE GANG Z4 HANGER K KLAMPS,,,,,,,
3303-2Z4K,10085339152238,871.87,560.70,25,26.00,THREE GANG 56.5CU BRACKET KLAMP,,,,,,,
3303-NBK,10085339152085,766.67,493.05,20,22.80,THREE GANG 56.5CU.,,,,,,,
3303-NK,10085339152016,535.80,344.57,20,17.80,THREE GANG 56.5CU NAIL KLAMP,,6.42,5.96,5.64,516.86,,
3303-NKV,10085339152092,"1,064.74",684.74,18,16.92,THREE GANG 56.5CU NAIL KLAMP VAPOR SEAL,,,,,,,
3303-Z4K,10085339152061,790.47,508.35,20,21.80,THREE GANG 56.5CU,,,,,,,
33213SSP,40762148091736,927.90,695.93,6,2.04,CFL LIGHT BULB 33213SSP,,,,,,,
4300-2Z2K,10085339169076,"1,104.33",710.19,12,14.28,FOUR GANG 60CU BRACKET KLAMP,,,,,,,
4300-NBK,10085339162718,973.17,625.85,18,21.42,FOUR GANG 60.0CU.,,,,,,,
4300-NK,10085339162268,715.55,460.17,18,16.20,FOUR GANG 60CU NAIL KLAMP,,7.94,7.48,,,,
4304-NBK,10085339175534,"1,047.10",673.39,18,24.12,FOUR GANG 75.0 CU.,,,,,,,
4304-NK,10085339175510,771.66,496.26,18,19.44,FOUR GANG 75.0 CU.,,8.64,8.24,7.94,,,
4304-NKV,10085339175589,"1,267.28",814.99,18,21.06,FOUR GANG 75CU NAIL KLAMP VAPOR SEAL,,,,,,,
4304-Z4BK,10085339175558,"1,285.92",826.97,6,9.18,FOUR GANG 75CU Z HANGER BAR KLAMP,,,,,,,
50PANST,10085339175466,11.46,8.60,50,1.00,ACCESSORY PANEL STOP,,,,,,,
5305-NBK,10085339180026,"2,562.13","1,647.71",6,10.02,FIVE GANG NAILS BAR HNGR K KLAMPS,,,,,,,
5305-NBKV,10085339180125,"4,057.37","2,609.30",6,10.98,FIVE GANG 94CU NAILS BAR KLAMPS VAPORSEAL,,,,,,,
5305-NK,10085339180019,"1,899.82","1,221.77",6,7.98,FIVE GANG 94.0 CU IN NAILS K KLAMPS,,,,,,,
5305-NKV,10085339180118,"3,119.97","2,006.46",6,7.98,FIVE GANG 94CU NAIL KLAMP VAPOR SEAL,,,,,,,
5305-Z4BK,10085339180033,"2,989.15","1,922.32",6,12.00,FIVE GANG 94CU Z HANGER BAR K KLAMP,,,,,,,
9301-E,10085339100109,195.10,125.47,100,21.00,SINGLE GANG 9.0CU.,,,,,,,
