"ARLINGTON INDUSTRIES, INC.",,,,,,,,,,,,,,
DISTRIBUTOR NET PRICE SHEET,,,,,,,,,,,,,,
"EFFECTIVE JULY 1, 2022",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,ITEM #,DESCRIPTION,UPC,UNIT,STD, PRICE / C ,,,,,,,,
41,1274,2-1/2X1-1/4 HEX R.B.,01899701274,5,5," $1,682.40 ",,,,,,,,
41,1275,2-1/2X1-1/2 HEX R.B.,01899701275,5,5," $1,682.40 ",,,,,,,,
41,1276,2-1/2X2 HEX RED. BUSH.,01899701276,5,5," $1,377.29 ",,,,,,,,
14,128,"2"" X 1-1/4"" ENTRAN CAP",01899700128,1,6," $1,409.52 ",,,,,,,,
41,1283,"3""X1"" REDUCING BUSHING",01899701283,5,5," $2,543.26 ",,,,,,,,
41,1284,3X1-1/4 REDUCING BUSHI,01899701284,5,5," $2,543.26 ",,,,,,,,
41,1285,3X1-1/2 REDUCING BUSHI,01899701285,5,5," $2,543.26 ",,,,,,,,
41,1286,"3""X2"" REDUCING BUSHING",01899701286,5,5," $2,543.26 ",,,,,,,,
41,1287,3X2-1/2 REDUCING BUSHI,01899701287,5,5," $1,760.68 ",,,,,,,,
14,129,2-1/2 MAST RED ENT CAP,01899700129,1,6," $2,185.22 ",,,,,,,,
41,1296,3-1/2X2 HEX RED BUSH,01899701296,2,2," $4,597.26 ",,,,,,,,
41,1297,3-1/2X2-1/2 HEX RED BU,01899701297,2,2," $4,597.26 ",,,,,,,,
41,1298,3-1/2X3 HEX RED BUSH,01899701298,2,2," $3,071.37 ",,,,,,,,
41,1307,4X2-1/2 HEX RED BUSH,01899701307,2,2," $4,057.19 ",,,,,,,,
41,1308,4X3 HEX RED BUSH,01899701308,2,2," $4,057.19 ",,,,,,,,
41,1309,4X3-1/2 HEX RED BUSH,01899701309,2,2," $3,716.96 ",,,,,,,,
14,140,"1/2"" CLAMP-ON ENT. CAP",01899700140,10,10, $373.51 ,,,,,,,,
14,141,"3/4"" CLAMP-ON ENT. CAP",01899700141,10,10, $449.96 ,,,,,,,,
14,142,"1"" CLAMP-ON ENT. CAP",01899700142,10,10, $514.68 ,,,,,,,,
14,143,"1-1/4"" CLAMP-ON CAP",01899700143,5,25, $602.91 ,,,,,,,,
14,144,"1-1/2"" CLAMP-ON CAP",01899700144,3,15, $991.14 ,,,,,,,,
14,145,"2"" CLAMP-ON ENT. CAP",01899700145,10,10," $1,190.45 ",17.85,16.55,15.85,,,,,HD 15.78
14,146,"2-1/2"" CLAMP-ON CAP",01899700146,1,1," $4,823.35 ",,,,,,,,
14,147,"3"" CLAMP-ON ENT. CAP",01899700147,1,1," $7,264.45 ",,,,,,,,
14,148,"3-1/2"" CLAMP-ON CAP",01899700148,1,1," $9,264.31 ",,,,,,,,
14,149,"4"" CLAMP-ON ENT. CAP",01899700149,1,1," $10,146.65 ",,,,,,,,
94,16,"21/2"" EMT LB W/CVR&GSK",01899716400,1,1," $13,539.36 ",,,,,,,,
94,17,"3"" EMT LB W/CVR & GSKT",01899716401,1,1," $16,894.05 ",,,,,,,,
94,18,"31/2"" EMT LB W/CVR&GSK",01899716402,1,1," $29,208.06 ",,,,,,,,
94,19,"4"" EMT LB W/CVR & GSKT",01899716403,1,1," $31,562.36 ",,,,,,,,
17,200,"1/2"" 3-PIECE COUPLING",01899700200,50,50, $294.12 ,,,,,,,,
39,2000,#0 PIPE HANGER W/BOLT,01899702000,100,100, $38.20 ,,,,,,,,
17,201,"3/4"" 3-PIECE COUPLING",01899700201,50,50, $372.66 ,,,,,,,,
39,2010,#1 PIPE HANGER W/BOLT,01899702010,100,100, $42.95 ,,,,,,,,
17,202,"1"" 3-PIECE COUPLING",01899700202,25,25, $593.38 ,,,,,,,,
39,2020,#2 PIPE HANGER W/BOLT,01899702020,100,100, $56.07 ,,,,,,,,
39,2025,#2-1/2 PIPE HGR W/BOLT,01899702025,100,100, $66.67 ,,,,,,,,
17,203,"1-1/4"" 3-PIECE COUP.",01899700203,25,25," $1,366.41 ",,,,,,,,
17,204,"1-1/2"" 3-PIECE COUP.",01899700204,25,25," $1,863.32 ",,,,,,,,
39,2040,#4 PIPE HANGER W/BOLT,01899702040,100,100, $85.93 ,,,,,,,,
17,205,"2"" 3-PIECE COUPLINGS",01899700205,20,20," $3,482.84 ",,,,,,,,
39,2050,#5 PIPE HANGER W/BOLT,01899702050,50,50, $94.81 ,,,,,,,,
17,206,"2-1/2"" 3-PIECE COUP.",01899700206,10,10," $6,346.47 ",,,,,,,,
39,2060,#6 PIPE HANGER W/BOLT,01899702060,50,50, $102.48 ,,,,,,,,
17,207,"3"" 3-PIECE COUPLING",01899700207,5,5," $9,545.51 ",,,,,,,,
39,2070,#7 PIPE HANGER W/BOLT,01899702070,25,25, $128.44 ,,,,,,,,
17,208,"3-1/2"" 3-PIECE COUP.",01899700208,5,5," $14,630.43 ",,,,,,,,
39,2080,#8 PIPE HANGER W/BOLT,01899702080,25,25, $147.18 ,,,,,,,,
17,209,"4"" 3-PIECE COUPLING",01899700209,2,2," $17,528.88 ",,,,,,,,
39,2090,#9 PIPE HANGER W/BOLT,01899702090,10,10, $318.62 ,,,,,,,,
17,210,"5"" 3-PIECE COUPLING",01899700210,1,1," $26,914.42 ",,,,,,,,
17,211,"6"" 3-PIECE COUPLING",01899700211,1,1," $37,266.12 ",,,,,,,,
39,2200,#0 PIPHGR FRM TH W/BLT,01899722000,100,100, $32.49 ,,,,,,,,
39,2210,#1 PIPHGR FRM TH W/BLT,01899722100,100,100, $36.73 ,,,,,,,,
39,2220,#2 PIPHGR FRM TH W/BLT,01899722200,100,100, $47.74 ,,,,,,,,
39,2225,#2/12 PIPHGR TH W/BLT,01899722250,100,100, $58.87 ,,,,,,,,
39,2230,#3 PIPHGR FRM TH W/BLT,01899722300,100,100, $58.87 ,,,,,,,,
39,2240,#4 PIPHGR FRM TH W/BLT,01899722400,100,100, $79.53 ,,,,,,,,
39,2250,#5 PIPHGR FRM THR W/BT,01899722500,50,50, $95.46 ,,,,,,,,
14,2350,"MBLE PIPSPT. W/10""BLT",01899702350,5,5," $1,176.43 ",,,,,,,,
6,2400,1/2-1/2 COMBO COUPLING,01899706920,50,50, $96.81 ,,,,,,,,
6,2410,1/2-3/4 COMBO COUPLING,01899706921,50,50, $114.44 ,,,,,,,,
6,2411,3/4-3/4 COMBO COUPLING,01899706922,50,50, $144.73 ,,,,,,,,
36,260,"1/2"" BOX SPACER",01899700260,25,250, $142.29 ,,,,,,,,
54,260ST,"1/2"" BOX SPACER ST",01899706000,25,250, $171.09 ,,,,,,,,
14,2850,"MBLE PIPSPT. W/10""BLT",01899728550,5,5," $1,381.84 ",,,,,,,,
49,300,NAIL ON NM CABLE STRAP,01899720820,100,5000, $3.05 ,,,,,,,,
49,301,8/3 3/3 1-HLE SEC STRP,01899700301,100,1000, $22.00 ,,,,,,,,
49,303,2/3 1-HLE SEC STRAP,01899700303,100,1000, $69.71 ,,,,,,,,
49,310,"3/8"" 1-HOLE BX STRAP",01899700310,100,1000, $10.33 ,,,,,,,,
5,3100,"1/2"" 1 HOLE M.I. STRAP",01899703100,50,500, $47.05 ,,,,,,,,
5,3101,"3/4"" 1 HOLE M.I. STRAP",01899703101,50,500, $66.65 ,,,,,,,,
5,3102,"1"" 1 HOLE M.I  STRAP",01899703102,25,250, $102.88 ,,,,,,,,
5,3103,"1-1/4"" 1 HOLE MI STRAP",01899703103,25,250, $164.54 ,,,,,,,,
5,3104,"1-1/2"" 1 HOLE MI STRAP",01899703104,25,250, $197.47 ,,,,,,,,
5,3105,"2"" 1 HOLE M.I. STRAP",01899703105,25,150, $342.82 ,,,,,,,,
5,3106,"2-1/2"" 1 HOLE MI STRAP",01899703106,25,25, $723.57 ,,,,,,,,
5,3107,"3"" 1 HOLE M.I. STRAP",01899703107,25,25," $1,020.34 ",,,,,,,,
5,3108,"3-1/2"" 1 HOLE MI STRAP",01899703108,10,10," $1,576.89 ",,,,,,,,
5,3109,"4"" 1 HOLE M.I. STRAP",01899703109,10,10," $3,263.47 ",,,,,,,,
49,311,"1/4"" BX 1-HOLE STRAP",01899784174,100,1000, $7.25 ,,,,,,,,
36,313S,1-1/2-2/0 SEU STRAP,01899700133,100,100, $63.35 ,,,,,,,,
36,314S,3/0-4/0 SEU STRAP,01899700014,100,100, $74.67 ,,,,,,,,
49,3232,ALUMINUM STRAP,01899732320,100,1000, $30.22 ,,,,,,,,
49,3282,ALUMINUM SERVICE STRAP,01899703282,100,1000, $57.28 ,,,,,,,,
49,3284,ALUMINUM STRAP,01899732840,100,1000, $73.17 ,,,,,,,,
