"CNP10 Price Schedule - Effective March 1, 2022",,,,,,,,,,,
Item ID,Description,Pack Quantity,List Price,Customer Price,UPC,Weight,Length,Width,Height,,
35,Range Hood Mounting Brackets,1,$36.96,$18.11,026715021697,1.70,1.02,0.49,0.13,,
73,High Temperature Control,1,$55.54,$27.21,026715016068,0.70,0.73,0.28,0.28,,
83,"Thermostat Kit. Rated 120/240VAC, 12.5 amps. Temperature range 40° 125° F",1,$26.66,$13.06,026715022410,0.30,0.43,0.25,0.31,,
84,"Surface Mount Kit, White enameled steel, For Broan Comfort-Flo Wall Heaters",1,$54.50,$26.71,026715022434,2.80,1.13,0.89,0.40,,
85,"Surface Mount Kit, White enameled steel, For High Capacity Wall Heaters",1,$120.88,$59.23,026715022441,5.40,1.90,1.56,0.39,,
90,"Thermostat Kit, For Kickspace Heaters, 120/240 Vac, 12.5 amps. Temperature Range 40°-130° F",1,$71.64,$35.10,026715022496,0.35,0.40,0.40,0.30,,
97,7-Inch Round Damper for Range Hoods and Ventilation Fans,1,$45.50,$22.30,026715038909,1.60,0.68,0.68,0.71,,
112,"Kickspace Heater, White, 1500W 240VAC, 750/1500W 120VAC, with built-in thermostat.",1,$347.58,$170.31,026715004058,14.50,1.85,0.52,1.24,,
114,"Kickspace Heater, White, 1500W 240VAC, 750/1500 W 120 VAC, Without Built-in Thermostat.",1,$309.32,$151.57,026715022540,14.50,1.85,0.52,1.24,,
120,"Heater, White Grille, 500/1000W 120VAC, 750W 208VAC, 1000W 240VAC",1,$213.42,$104.58,026715004409,7.30,1.25,0.92,0.51,,
124,"Heater, White Grille, 750/1500W 120VAC, 1125W 208VAC, 1500W 240VAC",1,$223.94,$109.73,026715004416,7.20,1.25,0.92,0.51,,
128,"Heater, White Grille, 1000/2000W 240VAC, 750/1500W 208VAC",1,$230.72,$113.05,026715004423,7.60,1.25,0.92,0.51,,
157,"Fan-Forced Ceiling Heater, Aluminum; Low-profile , Enclosed Sheathed Element, 1250W, 120VAC.",1,$165.84,$71.04,026715080731,3.00,1.04,1.06,0.33,,
161,"Broan One-Bulb Heater, 250W BR40 Infrared Bulb, Not Type IC",1,$70.02,$27.21,026715002634,5.30,1.15,0.91,0.62,,
162,"Broan 70 CFM One-Bulb Heater/Ventilation Fan, 250W BR40 Infrared Bulb, 4.0 Sones",1,$149.02,$47.44,026715002627,7.35,1.05,0.92,0.63,,
163,"Broan Two-Bulb Heater, (2) 250W BR40 Infrared Bulbs, Type IC, UL Listed for 60°C Wiring (retrofits)",1,$122.04,$49.06,026715002610,7.20,1.38,0.93,0.62,,
164,"Broan Two-Bulb Heater/Ventilation Fan 70 CFM, (2) 250W BR40 Infrared Bulbs, 4.0 Sones",1,$193.66,$68.03,026715002603,9.10,1.38,1.03,0.60,,
170,"Wall Heater, White, 500/1000W 120VAC, 750W 208VAC, 1000W 240 VAC.",1,$213.42,$104.58,026715004430,7.20,1.25,0.92,0.51,,
174,"Wall Heater, White, 750/1500W 120VAC, 1125W 208VAC, 1500W 240 VAC.",1,$223.94,$97.10,026715002573,7.20,1.24,0.93,0.51,,
178,"Wall Heater, White, 1000/2000W 240VAC, 750W/1500W 208 VAC.",1,$240.04,$117.62,026715004485,7.40,1.25,0.92,0.51,,
192,"Wall Heater, High Capacity, White, 1000/2000W 240VAC, 750/1500W 208VAC.",1,$523.68,$245.95,026715100033,22.00,1.86,1.53,0.58,,
194,"Wall Heater, High Capacity, White, 1500/3000W 240VAC, 1125/2250W 208VAC.",1,$551.90,$252.77,026715022656,22.00,1.86,1.53,0.58,,
198,"Wall Heater, High Capacity, White, 2000/4000W 240VAC, 1500/3000W 208VAC.",1,$578.20,$262.36,026715022670,22.00,1.86,1.53,0.58,,
335,"1200 CFM External Blower, for use with Select Broan Range Hoods",1,"$1,366.44",$669.56,026715109968,38.00,3.00,1.21,2.19,,
336,"1200 CFM External Blower, for use with Select Broan Range Hoods",1,"$1,705.84",$835.86,026715109975,44.00,3.00,1.21,2.19,,
353,"Broan 760 or 1020 CFM Powered Attic Ventilator, Gable Mounted",1,$188.60,$92.41,026715001538,11.10,1.38,1.32,0.73,,
358,"Broan 1000 CFM Powered Attic Ventilator, Roof Mounted, Aluminum Dome",1,$338.74,$165.98,026715001569,17.80,1.96,0.71,2.00,,
372,"Standard hose, Central Vacs, 32 Feet long in Dark Gray",1,$141.64,$48.16,784891772207,7.00,0.82,1.47,1.43,,
391,"Six-Gallon Vacuum Bags for Central Vacuums, Set of 3",6,$14.68,$4.99,784891992407,0.50,0.73,0.67,0.15,,
392,Optional Muffler,1,$35.74,$12.15,784891773204,1.10,1.01,0.46,0.48,,
393,Metal Wall Cap terminates exhaust discharge tube to outside,6,$39.56,$13.44,784891992421,0.82,0.50,0.58,0.25,,
394,Blank Cover Plate white; used in place of wall inlet in speculative rough-in installations,10,$24.86,$8.46,784891993398,0.10,0.03,0.25,0.32,,
395,Rough-In for Pre-installation,6,$105.92,$36.00,784891992438,1.90,2.32,0.33,0.50,,
406,"6"" Round Duct",5,$28.34,$13.89,026715020645,12.19,2.08,0.64,0.63,,
407,7-Inch Round Duct for Range Hoods and Bath Ventilation Fans,5,$29.26,$14.34,026715011186,10.63,2.09,0.71,0.74,,
408,8-Inch Round Duct for Range Hoods and Bath Ventilation Fans,5,$32.20,$15.78,026715229659,2.20,2.00,0.67,0.67,,
410,10-Inch Round Duct for Range Hoods and Bath Ventilation Fans,5,$37.76,$18.50,026715022748,20.00,0.85,0.82,2.06,,
411,6-Inch Round Transition for Range Hoods and Bath Ventilation Fans,1,$34.34,$16.83,026715002672,1.50,0.88,0.89,0.64,,
413,8-Inch Round Transition for Range Hoods and Bath Ventilation Fans,1,$42.00,$20.58,026715015993,1.90,1.03,1.02,0.89,,
414,10-Inch to 8-Inch Round Transition for Range Hoods and Bath Ventilation Fans,1,$62.52,$30.63,026715075478,2.00,1.03,1.02,0.90,,
415,7-Inch Round Elbow Duct for Range Hoods and Bath Ventilation Fans,4,$21.96,$10.76,026715007967,6.50,1.69,1.68,0.68,,
418,10-Inch Round Elbow Duct for Range Hoods and Bath Ventilation Fans,1,$53.10,$26.02,026715059454,3.40,1.13,1.12,0.90,,
419,6-Inch Round Elbow Duct for Range Hoods and Bath Ventilation Fans,1,$23.22,$11.38,026715016006,1.10,0.98,0.77,0.77,,
421,10-Inch Round Damper for Range Hoods and Bath Ventilation Fans,1,$58.66,$28.74,026715039005,0.75,1.00,0.83,0.13,,
423,10-Inch Round to Rectangular Transition for Range Hoods and Bath Ventilation Fans,1,$87.40,$42.83,026715039029,3.60,1.60,0.95,0.95,,
427,10-Inch Round Horizontal Transition for Range Hoods and Bath Ventilation Fans,1,$93.66,$45.89,026715126071,2.50,1.65,0.94,0.60,,
428,Broan-NuTone Vertical Elbow Transition for Range Hoods and Bath Ventilation Fans,1,$43.72,$21.42,026715011148,1.30,1.03,0.49,0.72,,
429,Broan-NuTone Horizontal Elbow Transition for Range Hoods and Bath Ventilation Fans,1,$58.66,$28.74,026715011155,2.20,1.00,1.03,0.88,,
430,Short Eave Elbow Transition for Range Hoods and Bath Ventilation Fans,1,$76.28,$37.38,026715016013,2.80,0.98,0.90,0.53,,
431,Long Eave Elbow Transition for Range Hoods and Bath Ventilation Fans,1,$76.56,$37.51,026715016020,3.60,1.02,0.88,0.79,,
432,8-Inch Round Elbow Duct for Range Hoods and Bath Ventilation Fans,1,$38.80,$19.01,026715229666,1.95,1.02,1.00,0.85,,
433,Automatic Shutter (use with Models 353 and 35316 ? Sold separately).,1,$101.82,$49.89,026715000517,3.25,1.74,1.63,0.24,,
437,"Roof Cap for High Capacity Fans up to 1200 CFM, in Black",1,$235.60,$115.44,026715039074,12.00,2.34,0.83,1.58,,
438,8-Inch Round Inline Damper for Range Hoods and Bath Ventilation Fans,1,$50.58,$24.78,026715075492,1.60,0.69,0.69,0.69,,
