Complete Price Report,"August 01, 2022",,,,,,,,,,,,,,,,
Customer Name,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
"City, State","NASHUA, NH",,,,,,,,,,,,,,,,
Customer Account Number,23485,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CATALOG NUMBER,MATERIAL DESC,LIST PRICE,CUSTOMER PRICE,MULTIPLIER,UOM,MPG GRP,MPG Desc,STD PACK Q,UNIT WT IN,CARTON WT,UPC NUMBER,Special Nets,,,Lowes,,
1054-BOX,"Socket Extender Med Base Bulb Ext 1.375""",$5.76,$4.90,0.85,PE,Z5,"Lampholders, Taps, & Adapters",250,25,0,032664298806,,,,,,
1071-BU,Handle Trouble Lamp W/2-2P2W Outlets YL,$12.40,$10.54,0.85,PE,Z5,"Lampholders, Taps, & Adapters",50,,0,032664298905,,,,,,
1078-25-BU,Trouble Lamp W/Switch & 1-2P3W Recp 25',$36.15,$30.73,0.85,PE,Z5,"Lampholders, Taps, & Adapters",6,,12,032664131509,,,,,,
1078-50-BU,Trouble Lamp W/Switch & 1-2P3W Recp 50',$60.36,$51.31,0.85,PE,Z5,"Lampholders, Taps, & Adapters",6,,24,032664131608,,,,,,
1107-9A,Recp Deco Dup 15A 125V 2P3W AutoGrd AL,$2.46,$1.71,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664542053,,,,,,
1107-9BK,Recp Deco Dup 15A 125V 2P3W AutoGrd BK,$2.46,$1.71,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664487101,,,,,,
1107-9BK-BOX,Recp Deco Dup 15A 125V 2P3W AutoGrd BK,$2.46,$1.71,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664509858,,,,,,
1107-9LA,Recp Deco Dup 15A 125V 2P3W AutoGrd LA,$2.46,$1.71,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664582363,,,,,,
1107-9V,Recp Deco Dup 15A 125V 2P3W AutoGrd IV,$2.46,$1.71,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664148804,,,,,,
1107-9W,Recp Deco Dup 15A 125V 2P3W AutoGrd WH,$2.46,$1.71,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664148903,,,,,,
1107A,Recp Deco Duplex 15A 125V 2P3W AL,$1.85,$1.67,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664563003,,,,,,
1107A-BOX,Recp Deco Duplex 15A 125V 2P3W AL,$1.85,$1.67,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664542268,,,,,,
1107B-BOX,Recp Deco Duplex 15A 125V 2P3W BR,$1.85,$1.67,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664183706,,,,,,
1107BK-C,Recp Deco Duplex 15A 125V 2P3W BK Can,$1.85,$1.76,0.95,PE,WO,Residential Decorator Receptacles,100,10,0,032664557408,,,,,,
1107BK-SP-L,Recp Deco Duplex 15A 125V 2P3W BK,$1.85,$1.76,0.95,PE,WO,Residential Decorator Receptacles,20,,0,032664747168,,,,,,
1107GY-BOX,Recp Deco Duplex 15A 125V 2P3W GY,$1.85,$1.67,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664374500,,,,,,
1107LA,Recp Deco Duplex 15A 125V 2P3W LA,$1.85,$1.67,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664750861,,,,,,
1107LA-BOX,Recp Deco Duplex 15A 125V 2P3W LA,$1.85,$1.67,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664752476,,,,,,
1107LA-L,Recp Deco Duplex 15A 125V 2P3W LA,$1.85,$1.76,0.95,PE,WO,Residential Decorator Receptacles,50,10,0,032664582370,,,,,,
1107LA-SP-L,Recp Deco Duplex 15A 125V 2P3W LA,$1.85,$1.76,0.95,PE,WO,Residential Decorator Receptacles,22,,0,032664583216,,,,,,
1107V,Recp Deco Duplex 15A 125V 2P3W IV,$1.85,$1.67,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664512476,,,,,,
1107V-BOX,Recp Deco Duplex 15A 125V 2P3W IV,$1.85,$1.67,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664183805,,,,,,
1107V-SP-L2,Recp Deco Duplex 15A 125V 2P3W BK,$1.85,$1.76,0.95,PE,WO,Residential Decorator Receptacles,20,,0,032664747175,,,,,,
1107W,Recp Deco Duplex 15A 125V 2P3W WH,$1.85,$1.67,Net Price,PE,WO,Residential Decorator Receptacles,100,10,0,032664512483,,,,,,
