Customer:,,,,,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
Account Number:,,,,,,,,,,,,,,,,,,,,,
Agreement Number:,,,,,P51214A,,,,,,,,,,,,,,,,
Effective Date:,,,,,8/1/2022,,,,,,,,,,,,,,,,
x,,,,,Price shown in Column K is the Net Price after SPA discount per each. ,,,,,,,,,,,,,,,,
x,,,,,"Net price calculated using VPG discount off price sheet in effect.  Net prices expire with the cancellation date of the August 1, 2022 price sheet.",,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
Catalog No.,Stock,Shelf Ctn.,Breakable,UPC #,VPG,VPG % Disc, Net Dist. Price ,Calculated,Rounded SPA Price,Distributor Net Price Per Each,Product Description,,,,,,,,,,
3578,N,1,Never,051712127462,HU,50.00%, $80.79 , $40.3950 ,$40.40 ,$40.40 ,BUSS FUSEBLOCK,,,,,,,,,,
3743,S,1,Always,051712737128,HU,50.00%, $19.12 , $9.5600 ,$9.56 ,$9.56 ,BUSS FUSEBLOCK 3743,,,,,,,,,,
15211,N,1,Never,051712334662,HU,50.00%, $182.13 , $91.0650 ,$91.07 ,$91.07 ,CONVERSION CONNECTOR ASSY,,,,,,,,,,
4164,S,1,Never,051712737920,HU,50.00%, $44.95 , $22.4750 ,$22.48 ,$22.48 ,BUSS FUSEBLOCK,,,,,,,,,,
4528,N,1,Always,051712738705,HU,50.00%, $35.28 , $17.6400 ,$17.64 ,$17.64 ,BUSS FUSEBLOCK,,,,,,,,,,
15800-F-200,N,40,Always,051712786812,AB,50.00%, $120.29 , $60.1450 ,$60.15 ,$60.15 ,TPS FUSE DISCONNECT,,,,,,,,,,
1A1838-2,N,10,Never,051712539074,HT,50.00%, $6.65 , $3.3250 ,$3.33 ,$3.33 ,FUSE CLIP,,,,,,,,,,
1A6233,N,100,Never,051712566759,HT,50.00%, $2.98 , $1.4900 ,$1.49 ,$1.49 ,"1-PIECE 13/32"" FUSECLIP",,,,,,,,,,
1B0089,N,1,Never,051712791489,S4,50.00%," $1,007.72 ", $503.8600 ,$503.86 ,$503.86 ,BUSS FUSEBLOCK CLASS T,,,,,,,,,,
1A1063,N,1,Never,051712205122,HT,50.00%," $1,200.30 ", $600.1500 ,$600.15 ,$600.15 ,PULL RING,,,,,,,,,,
1A1063-W,N,1,Never,051712205139,HT,50.00%," $1,279.24 ", $639.6200 ,$639.62 ,$639.62 ,PULL RING,,,,,,,,,,
2A0660,S,20,Never,051712604932,AB,50.00%, $4.38 , $2.1900 ,$2.19 ,$2.19 ,"INSULATOR, ONE END",,,,,,,,,,
2A0661,S,10,Never,051712539593,AB,50.00%, $10.20 , $5.1000 ,$5.10 ,$5.10 ,"INSULATOR, 2 END",,,,,,,,,,
3833-2,S,1,Never,051712737456,HU,50.00%, $20.06 , $10.0300 ,$10.03 ,$10.03 ,BUSS FUSEBLOCK,,,,,,,,,,
3833-4,N,1,Never,051712737470,HU,50.00%, $42.38 , $21.1900 ,$21.19 ,$21.19 ,BUSS FUSEBLOCK,,,,,,,,,,
3823-1,N,10,Never,051712737203,HU,50.00%, $6.12 , $3.0600 ,$3.06 ,$3.06 ,BUSS FUSEBLOCK,,,,,,,,,,
3833-1,S,1,Never,051712737449,HU,50.00%, $8.61 , $4.3050 ,$4.31 ,$4.31 ,BUSS FUSEBLOCK,,,,,,,,,,
3833-6,N,1,Never,051712737494,HU,50.00%, $63.33 , $31.6650 ,$31.67 ,$31.67 ,BUSS FUSEBLOCK,,,,,,,,,,
3833-8,N,1,Never,051712737517,HU,50.00%, $84.19 , $42.0950 ,$42.10 ,$42.10 ,BUSS FUSEBLOCK,,,,,,,,,,
