Item,Item Description,"Plat Plus 
Net Price",Cost Unit of Measure,STD PACK Qty,Bag QTY, Weight per 100 , Suggested Trade , Suggested Retail Price ,Stocking Indicator,ABC Code,Class,NAED/UPC Number,UNSPSC,Brand,,,,,,
05101,PROKIT TERMINAL KIT                                         ,$5.88,EA,6,100, 62.7 ,$11.75,$13.05,N ,D  ,TOA,046494051012,39121405       ,Calterm,,,,,,
05102,PROKIT TERMINAL KIT W/CRIMP TOOL                            ,$9.21,EA,6,100, 96.1 ,$18.44,$20.48,N ,D  ,TKI,046494051029,39121405       ,Calterm,,,,,,
05107,Prokit Promotional Kit in Counter Display                   ,$9.13,EA,6,180, 72.3 ,$18.25,$20.27,N ,D  ,TOA,046494051074,39121405       ,Calterm,,,,,,
05108,PROKIT PROMOTIONAL KIT                                      ,$9.82,EA,6,180, 77.9 ,$19.65,$21.83,N ,D  ,TOA,046494051081,39121405       ,Calterm,,,,,,
05110,PROKIT ALL WEATHER NYLON ANTIVIBRATION TERMINALS            ,$14.18,EA,24,1, 59.0 ,$28.37,$31.51,N ,D  ,TKI,046494051104,39121405       ,Calterm,,,,,,
05125,SLIDEKIT TERMINALS W/CRIMP TOOL                             ,$4.82,EA,6,25, 54.0 ,$9.64,$10.71,N ,D  ,TKI,046494051258,39121405       ,Calterm,,,,,,
05131,SLIDEKIT 31 DIFFERENT TERMINALS                             ,$6.18,EA,6,107, 34.3 ,$12.37,$13.74,N ,D  ,TOA,046494051319,39121405       ,Calterm,,,,,,
05145,SLIDEKIT SOLDERLESS TERMINALS                               ,$2.48,EA,6,40, 13.5 ,$4.97,$5.52,N ,D  ,TOA,046494051456,39121405       ,Calterm,,,,,,
05149,SLIDEKIT FULL RANGE 49 STYLES                               ,$7.52,EA,6,150, 48.2 ,$15.04,$16.72,N ,D  ,TOA,046494051494,39121405       ,Calterm,,,,,,
05185,SLIDEKIT TERMINALS & WIRECAPS                               ,$4.14,EA,6,85, 26.2 ,$8.26,$9.18,N ,D  ,TOA,046494051852,39121405       ,Calterm,,,,,,
05207,TWINKIT AUTOMOTIVE ELECTRICAL REPAIR                        ,$21.52,EA,5,208, 258.8 ,$43.05,$47.83,N ,D  ,SPE,046494052071,39121405       ,Calterm,,,,,,
05801,Calterm Terminal Kit  14-16 AWG  48 Pc/Clam  4 Clams/Master ,$5.19,EA,4,48, 17.0 ,$10.39,$11.56,N ,D  ,TOA,046494058011,39121405       ,Calterm,,,,,,
05803,Calterm Terminal Kit  18-22 AWG  46 Pc/Clam  4 Clams/Master ,$5.19,EA,4,46, 15.7 ,$10.39,$11.56,N ,D  ,TOA,046494058035,39121405       ,Calterm,,,,,,
05804,Calterm Terminal Kit  12-10 AWG  28 Pc/Clam  4 Clams/Master ,$5.19,EA,4,28, 17.8 ,$10.39,$11.56,N ,D  ,TOA,046494058042,39121405       ,Calterm,,,,,,
05826,Quick Connector Kit  10-22 AWG  18 Pc/Clam  4 Clams/Master  ,$4.01,EA,4,18, 13.5 ,$8.01,$8.91,N ,D  ,TOA,046494058264,39121405       ,Calterm,,,,,,
05827,Butt Splice Kit  10-22 AWG  36 pc/Clam  4 Clams/Master      ,$5.19,EA,4,36, 16.5 ,$10.39,$11.56,N ,D  ,GBS,046494058271,39121405       ,Calterm,,,,,,
05830,Heat Shrink Terminal Kit  10-22 AWG  24 Pc/Clam  4 Clams/Mas,$10.25,EA,4,24, 15.0 ,$20.49,$22.77,N ,D  ,TOA,046494058301,39121405       ,Calterm,,,,,,
05860,HS Butt Connector Kit  22-10 AWG  75/kit  6kits/master      ,$33.96,EA,6,75, 47.5 ,$67.91,$75.45,N ,D  ,GBS,046494021503,39121405       ,Calterm,,,,,,
08100,FUSE HOLDERS 10 AMP ECONOMY                                 ,$1.16,EA,6,2, 4.8 ,$2.31,$2.56,N ,D  ,SWT,046494081002,39121605       ,Calterm,,,,,,
