"GREAVES 2022.1 PRICE SCHEDULE Effective January 1, 2022",,,,,,,,
Orders less than $100 incur a $15 Small Order Fee.  Ground freight free to contiguous 48 states.,,,,,,,,
Catalog,Distrib Net,,,    Ctn ,  Trade List,, NAED # ,2021
Number,$/ea,,Description Category,Qty,$/ea,Mult,784491,Cat Page
A10,3.1807,,SPLIT BOLT,50,7.9518,0.40,10400,8
A10DB,5.9545,,MESH BUG DB,1,9.1608,0.65,10261,80
A10SP                    ,3.8162,,SPLIT BOLT,50,9.5404,0.40,10420,8
A11                      ,5.8010,,SPLIT BOLT,25,12.8910,0.45,10430,8
A11SP                    ,6.9364,,SPLIT BOLT,25,15.4143,0.45,10450,8
A12                      ,7.9732,,SPLIT BOLT,25,17.7182,0.45,10460,8
A12SP                    ,9.6270,,SPLIT BOLT,25,21.3934,0.45,10480,8
A14                      ,9.2815,,SPLIT BOLT,25,20.6255,0.45,10490,8
A14SP                    ,11.7253,,SPLIT BOLT,25,26.0562,0.45,10510,8
A15                      ,17.3287,,SPLIT BOLT,12,38.5082,0.45,10520,8
A15SP                    ,21.2042,,SPLIT BOLT,12,47.1205,0.45,10540,8
A16                      ,22.2163,,SPLIT BOLT,12,49.3695,0.45,10550,8
A16SP                    ,27.9756,,SPLIT BOLT,12,62.1680,0.45,10570,8
A17                      ,52.1838,,SPLIT BOLT,3,115.9640,0.45,10580,8
A17SP                    ,57.2930,,SPLIT BOLT,3,127.3178,0.45,10600,8
A18                      ,57.7877,,SPLIT BOLT,3,128.4170,0.45,10610,8
A18SP                    ,75.9987,,SPLIT BOLT,3,168.8860,0.45,10630,8
A2                       ,1.1735,,SPLIT BOLT,100,2.9337,0.40,10130,8
A2DB                     ,2.2463,,MESH BUG DB,1,3.4559,0.65,10131,80
A2L                      ,1.6752,,SPLIT BOLT,100,4.1880,0.40,10140,8
A3                       ,1.2643,,SPLIT BOLT,100,3.1607,0.40,10180,8
A3DB                     ,2.4246,,MESH BUG DB,1,3.7301,0.65,10132,80
A3SP                     ,1.6632,,SPLIT BOLT,100,4.1581,0.40,10210,8
A4                       ,1.6500,,SPLIT BOLT,100,4.1250,0.40,10220,8
A5                       ,1.5732,,SPLIT BOLT,100,3.9331,0.40,10240,8
A5DB                     ,2.9307,,MESH BUG DB,1,4.5087,0.65,10241,80
A5SP                     ,1.9638,,SPLIT BOLT,100,4.9095,0.40,10270,8
A6                       ,2.4900,,SPLIT BOLT,100,6.2250,0.40,10280,8
A8                       ,2.4852,,SPLIT BOLT,100,6.2129,0.40,10350,8
A8DB                     ,4.6353,,MESH BUG DB,1,7.1312,0.65,10361,80
A8SP                     ,2.9635,,SPLIT BOLT,100,7.4088,0.40,10370,8
A9                       ,2.9560,,SPLIT BOLT,100,7.3900,0.40,10380,8
A104                     ,10.4410,,2-BOLT TAP CONN,12,16.0630,0.65,12100,9
A105                     ,16.4406,,2-BOLT TAP CONN,12,25.2932,0.65,12120,9
A106                     ,22.1434,,2-BOLT TAP CONN,12,34.0668,0.65,12140,9
A107                     ,28.0794,,2-BOLT TAP CONN,6,43.1990,0.65,12160,9
A108                     ,34.3016,,2-BOLT TAP CONN,6,52.7717,0.65,12180,9
A109                     ,44.9228,,2-BOLT TAP CONN,3,69.1120,0.65,12200,9
A110                     ,63.4622,,2-BOLT TAP CONN,2,97.6342,0.65,12220,9
A504                     ,9.9640,,2-BOLT TAP CONN,12,15.3292,0.65,12240,9
A505                     ,19.7633,,2-BOLT TAP CONN,12,30.4050,0.65,12260,9
A506                     ,23.0224,,2-BOLT TAP CONN,12,35.4190,0.65,12280,9
A507                     ,36.9623,,2-BOLT TAP CONN,6,56.8650,0.65,12300,9
A508                     ,42.7922,,2-BOLT TAP CONN,6,65.8342,0.65,12320,9
A509                     ,66.1440,,2-BOLT TAP CONN,3,101.7600,0.65,12340,9
A510                     ,87.0154,,2-BOLT TAP CONN,2,133.8698,0.65,12360,9
A-1000                   ,7.9930,,AL MECH LUG,4,15.9860,0.50,50200,46
A-1000N                  ,9.3561,,AL MECH LUG,3,18.7121,0.50,71061,46
A-1000N-2                ,16.1955,,AL MECH LUG,4,32.3910,0.50,71063,46
A-2/0                    ,0.7536,,AL MECH LUG,50,1.5072,0.50,50110,46
