Bronze ,Aluminum,Distrib Net ,,Description,Ctn ,  Trade List,,2021
Cat No, Cat No,$/EA,,Category,Qty, $/EA,Mult,Cat Page
2J3A2N                 ,--,46.5195,,LUG,1,63.7254,0.73,100
2J4A2N                 ,--,63.2840,,LUG,1,86.6904,0.73,100
--,AL2J4A2N,63.2840,,LUG,1,86.6904,0.73,100
2J4A4N,,65.3196,,LUG,1,89.4788,0.73,100
--,AL2J4A4N,65.3196,,LUG,1,89.4788,0.73,100
2J5A2N                 ,AL2J5A2N,102.0618,,LUG,1,139.8107,0.73,100
2J5A4N                 ,AL2J5A4N,104.7262,,LUG,1,143.4606,0.73,100
2J5L                   ,AL2J5L,61.1685,,TERM ADAPTERS,1,83.7925,0.73,108
2J5L90                 ,AL2J5L90,61.1685,,TERM ADAPTERS,1,83.7925,0.73,108
2J6A2N                 ,AL2J6A2N,120.6216,,LUG,1,165.2351,0.73,100
2J6A4N                 ,AL2J6A4N,122.3484,,LUG,1,167.6005,0.73,100
2J6L                   ,AL2J6L,75.5886,,TERM ADAPTERS,1,103.5461,0.73,108
2J6L90                 ,AL2J6L90,75.5886,,TERM ADAPTERS,1,103.5461,0.73,108
2J7A2N                 ,AL2J7A2N,182.7278,,LUG,1,250.3121,0.73,100
2J7A4N                 ,AL2J7A4N,182.7278,,LUG,1,250.3121,0.73,100
2J7L                   ,AL2J7L,118.9748,,TERM ADAPTERS,1,162.9792,0.73,108
2J7L90                 ,AL2J7L90,118.9748,,TERM ADAPTERS,1,162.9792,0.73,108
2J8A2N,AL2J8A2N,238.0298,,LUG,1,326.0682,0.73,100
2J8A4N,AL2J8A4N,238.0298,,LUG,1,326.0682,0.73,100
2J8L                   ,AL2J8L,175.9923,,TERM ADAPTERS,1,241.0853,0.73,108
2J8L90,AL2J8L90,175.9923,,TERM ADAPTERS,1,241.0853,0.73,108
--,AL2JJ2A2N,65.6397,,LUG,1,89.9174,0.73,103
2JJ2AR2N,--,48.7953,,LUG,1,66.8429,0.73,105
--,AL2JJ2AR2N,66.0285,,LUG,1,90.4500,0.73,105
2JJ2U                  ,--,29.8466,,MULT COUPLER,1,40.8858,0.73,116
--,AL2JJ2U,44.0152,,MULT COUPLER,1,60.2948,0.73,116
2JJ3A2N                ,--,65.6397,,LUG,1,89.9174,0.73,103
2JJ3AR2N,--,66.0285,,LUG,1,90.4500,0.73,105
2JJ3U                  ,--,44.0152,,MULT COUPLER,1,60.2948,0.73,116
2JJ4A2N                ,--,94.4572,,LUG,1,129.3934,0.73,103
--,AL2JJ4A2N,94.4572,,LUG,1,129.3934,0.73,103
2JJ4A4N                ,--,97.0416,,LUG,1,132.9337,0.73,103
--,AL2JJ4A4N,97.0416,,LUG,1,132.9337,0.73,103
2JJ4AR2N,--,94.4572,,LUG,1,129.3934,0.73,105
--,AL2JJ4AR2N,94.4572,,LUG,1,129.3934,0.73,105
2JJ4AR4N               ,--,98.3796,,LUG,1,134.7666,0.73,105
--,AL2JJ4AR4N,96.4240,,LUG,1,132.0877,0.73,105
2JJ4U,--,62.1176,,MULT COUPLER,1,85.0926,0.73,116
--,AL2JJ4U,62.1176,,MULT COUPLER,1,85.0926,0.73,116
2JJ5A2N                ,AL2JJ5A2N,141.6857,,LUG,1,194.0900,0.73,103
2JJ5A4N                ,AL2JJ5A4N,143.1839,,LUG,1,196.1423,0.73,103
2JJ5AR2N               ,AL2JJ5AR2N,142.3148,,LUG,1,194.9518,0.73,105
2JJ5AR4N               ,AL2JJ5AR4N,144.1215,,LUG,1,197.4268,0.73,105
2JJ5L                  ,AL2JJ5L,109.5749,,TERM ADAPTERS,1,150.1026,0.73,109
2JJ5L90,AL2JJ5L90,109.5749,,TERM ADAPTERS,1,150.1026,0.73,109
2JJ5U                  ,AL2JJ5U,96.3441,,MULT COUPLER,1,131.9782,0.73,116
2JJ6A2N                ,AL2JJ6A2N,169.4969,,LUG,1,232.1875,0.73,103
2JJ6A4N                ,AL2JJ6A4N,171.4524,,LUG,1,234.8663,0.73,103
2JJ6AR2N               ,AL2JJ6AR2N,170.0458,,LUG,1,232.9394,0.73,105
2JJ6AR4N               ,AL2JJ6AR4N,171.8412,,LUG,1,235.3990,0.73,105
2JJ6L                  ,AL2JJ6L,134.3328,,TERM ADAPTERS,1,184.0175,0.73,109
2JJ6L90                ,AL2JJ6L90,134.3328,,TERM ADAPTERS,1,184.0175,0.73,109
2JJ6U,AL2JJ6U,109.7384,,MULT COUPLER,1,150.3266,0.73,116
2JJ7A2N                ,AL2JJ7A2N,243.0386,,LUG,1,332.9296,0.73,103
2JJ7A4N                ,AL2JJ7A4N,245.0055,,LUG,1,335.6239,0.73,103
2JJ7AR2N               ,AL2JJ7AR2N,238.5787,,LUG,1,326.8201,0.73,105
2JJ7AR4N,AL2JJ7AR4N,240.3855,,LUG,1,329.2952,0.73,105
2JJ7L                  ,AL2JJ7L,211.8654,,LUG,1,290.2266,0.73,109
2JJ7L90,AL2JJ7L90,211.8654,,TERM ADAPTERS,1,290.2266,0.73,109
2JJ7U,AL2JJ7U,166.6723,,MULT COUPLER,1,228.3182,0.73,116
2JJ8A2N                ,AL2JJ8A2N,309.7761,,LUG,1,424.3508,0.73,103
2JJ8A4N,AL2JJ8A4N,311.7315,,LUG,1,427.0295,0.73,103
2JJ8AR2N,AL2JJ8AR2N,309.9362,,LUG,1,424.5702,0.73,105
2JJ8AR4N,AL2JJ8AR4N,311.8116,,LUG,1,427.1392,0.73,105
2JJ8L,AL2JJ8L,317.5294,,TERM ADAPTERS,1,434.9718,0.73,109
2JJ8L90,AL2JJ8L90,317.5294,,TERM ADAPTERS,1,434.9718,0.73,109
2JJ8U,AL2JJ8U,211.4766,,MULT COUPLER,1,289.6940,0.73,116
2P4A4N                 ,AL2P4A4N,198.0056,,LUG,1,271.2406,0.73,107
2P4A4N90,AL2P4A4N90,255.2631,,LUG,1,349.6754,0.73,107
2P5A4N                 ,AL2P5A4N,256.2007,,LUG,1,350.9599,0.73,107
2P5A4N90               ,AL2P5A4N90,293.6405,,LUG,1,402.2473,0.73,107
2P6A4N                 ,AL2P6A4N,292.7029,,LUG,1,400.9628,0.73,107
2P6A4N90,AL2P6A4N90,348.4739,,LUG,1,477.3614,0.73,107
2P7A4N                 ,AL2P7A4N,384.2669,,LUG,1,526.3931,0.73,107
2P7A4N90               ,AL2P7A4N90,466.2708,,LUG,1,638.7271,0.73,107
2P8A4N                 ,AL2P8A4N,499.4794,,LUG,1,684.2184,0.73,107
2P8A4N90,AL2P8A4N90,599.3456,,LUG,1,821.0214,0.73,107
2X6A4N                 ,AL2X6A4N,315.9627,,LUG,1,432.8256,0.73,110
3J4A2N                 ,--,147.1748,,LUG,1,201.6094,0.73,101
--,AL3J4A2N,147.1748,,LUG,1,201.6094,0.73,101
3J4A4N                 ,--,148.4213,,LUG,1,203.3168,0.73,101
--,AL3J4A4N,148.4213,,LUG,1,203.3168,0.73,101
3J5A2N                 ,AL3J5A2N,237.8697,,LUG,1,325.8490,0.73,101
3J5A4N                 ,AL3J5A4N,238.8188,,LUG,1,327.1490,0.73,101
3J5L                   ,AL3J5L,88.5107,,TERM ADAPTERS,1,121.2475,0.73,108
3J5L90,AL3J5L90,88.5107,,TERM ADAPTERS,1,121.2475,0.73,108
3J6A2N                 ,AL3J6A2N,280.7986,,LUG,1,384.6556,0.73,101
3J6A4N                 ,AL3J6A4N,282.4453,,LUG,1,386.9113,0.73,101
3J6L                   ,AL3J6L,108.9460,,TERM ADAPTERS,1,149.2411,0.73,108
3J6L90                 ,AL3J6L90,108.9460,,TERM ADAPTERS,1,149.2411,0.73,108
3J7A2N                 ,AL3J7A2N,423.5020,,LUG,1,580.1398,0.73,101
3J7A4N                 ,AL3J7A4N,423.5020,,LUG,1,580.1398,0.73,101
3J7L                   ,AL3J7L,169.9658,,TERM ADAPTERS,1,232.8299,0.73,108
3J7L90,AL3J7L90,169.9658,,TERM ADAPTERS,1,232.8299,0.73,108
3J8A2N,AL3J8A2N,558.0635,,LUG,1,764.4706,0.73,101
3J8A4N                 ,AL3J8A4N,558.0635,,LUG,1,764.4706,0.73,101
3J8L,AL3J8L,224.8675,,TERM ADAPTERS,1,308.0377,0.73,108
3J8L90,AL3J8L90,224.8675,,TERM ADAPTERS,1,308.0377,0.73,108
--,AL3JJ2A2N,114.4236,,LUG,1,156.7446,0.73,104
3JJ2AR2N,--,84.8285,,LUG,1,116.2034,0.73,105
--,AL3JJ2AR2N,96.0353,,LUG,1,131.5552,0.73,105
3JJ2U,--,45.2732,,MULT COUPLER,1,62.0180,0.73,116
--,AL3JJ2U,45.2732,,MULT COUPLER,1,62.0180,0.73,116
3JJ3A2N                ,--,114.4350,,LUG,1,156.7603,0.73,104
3JJ3AR2N               ,--,95.3949,,LUG,1,130.6780,0.73,105
3JJ3U,--,66.1087,,MULT COUPLER,1,90.5598,0.73,116
3JJ4A2N                ,--,154.5393,,LUG,1,211.6976,0.73,104
--,AL3JJ4A2N,154.5393,,LUG,1,211.6976,0.73,104
3JJ4A4N                ,--,155.7857,,LUG,1,213.4051,0.73,104
--,AL3JJ4A4N,155.7857,,LUG,1,213.4051,0.73,104
3JJ4AR2N,--,117.8770,,LUG,1,161.4754,0.73,105
--,AL3JJ4AR2N,117.8770,,LUG,1,161.4754,0.73,105
3JJ4AR4N,--,121.0104,,LUG,1,165.7676,0.73,105
--,AL3JJ4AR4N,121.0104,,LUG,1,165.7676,0.73,105
3JJ4U,--,93.4394,,MULT COUPLER,1,127.9992,0.73,116
--,AL3JJ4U,93.4394,,MULT COUPLER,1,127.9992,0.73,116
3JJ5A2N                ,AL3JJ5A2N,249.8541,,LUG,1,342.2659,0.73,104
3JJ5A4N                ,AL3JJ5A4N,250.7232,,LUG,1,343.4564,0.73,104
3JJ5AR2N               ,AL3JJ5AR2N,182.8078,,LUG,1,250.4216,0.73,105
3JJ5AR4N,AL3JJ5AR4N,184.6947,,LUG,1,253.0064,0.73,105
3JJ5L                  ,AL3JJ5L,157.2037,,TERM ADAPTERS,1,215.3476,0.73,109
3JJ5L90,AL3JJ5L90,157.2037,,TERM ADAPTERS,1,215.3476,0.73,109
3JJ5U                  ,AL3JJ5U,144.8992,,MULT COUPLER,1,198.4920,0.73,116
3JJ6A2N                ,AL3JJ6A2N,294.8185,,LUG,1,403.8610,0.73,104
3JJ6A4N                ,AL3JJ6A4N,296.6138,,LUG,1,406.3202,0.73,104
3JJ6AR2N,AL3JJ6AR2N,225.4965,,LUG,1,308.8993,0.73,105
