Pricing File,,,,,,,,,,,,,,,,,,,,,
Pricing Type,Item Number,Item Description,UPC Code,Pricing Customer,SPA or CDC,Start Date,End Date,Currency Code,Quantity Break1,Price Break1,Quantity Break2,Price Break2,Quantity Break3,Price Break3,Quantity Break4,Price Break4,Quantity Break5,Price Break5,,,
Region Pricing 250,AG1BRKT,MTG BRKT FOR LTNG ARRSTRS,078275051997,0,,20220404,99999999,USD,1,2.86,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AG2083C3,120/208V ARRESTER GUARD,078275124417,0,,20220404,99999999,USD,1,101.79,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AG2401C3,"120/240V ARRESTER GUARD,SPH",078275124431,0,,20220404,99999999,USD,1,67.86,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AG24013,"120/240V ARRESTER GUARD,SNGPH",078275124424,0,,20220404,99999999,USD,1,67.86,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AG2403C3,120/208/240V ARRESTER GUARD,078275124455,0,,20220404,99999999,USD,1,96.34,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AG3000,120/240 SINGLE PHASE SPD,078275130678,0,,20220404,99999999,USD,1,56.33,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AG48013,"277/480V ARRESTER GUARD,SPH",078275124462,0,,20220404,99999999,USD,1,67.86,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AG4803C3,277/480V ARRESTER GUARD,078275124479,0,,20220404,99999999,USD,1,101.79,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AG6503C3,347/600V ARRESTER GUARD,078275124493,0,,20220404,99999999,USD,1,103.49,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AG6503L3,347/600V ARRESTER GUARD,078275124769,0,,20220404,99999999,USD,1,92.49,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AT1-5AS5E-GI,"REF CNT, 1RLY, 1SN, 230V",078275150805,0,,20220404,99999999,USD,1,41.92,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AT1-5AS5U-BGI,"REF CNT, 1RLY, 1SN, 115V, RS",078275150812,0,,20220404,99999999,USD,1,44.57,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AT1-5BS6E-ALI,"REF CNT, 2RLY, 2SN, 230V, TTL",078275150836,0,,20220404,99999999,USD,1,51.13,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AT1-5BS6E-BGI,"REF CNT, 2RLY, 2SN, 230V, RS",078275150843,0,,20220404,99999999,USD,1,49.97,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AT1-5BS6U-BGI,"REF CNT, 2RLY, 2SN, 115V, RS",078275151192,0,,20220404,99999999,USD,1,49.97,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AT2-5BS4E-ALI,"REF CNT, 3RLY, 2SN, 230V, TTL",078275150850,0,,20220404,99999999,USD,1,56.11,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AT2-5BS4E-GI,"REF CNT, 1RLY, 1SN, 230V",078275150867,0,,20220404,99999999,USD,1,53.77,0,0,0,0,0,0,0,0,,,
Region Pricing 250,AT2-5BS4U-BGI,"REF CNT, 3RLY, 2SN, 115V, RS",078275150874,0,,20220404,99999999,USD,1,55.78,0,0,0,0,0,0,0,0,,,
Region Pricing 250,BD1-28C1S5W-BI,"REF CNT, 5RLY, 3SN, 100-230V",078275150942,0,,20220404,99999999,USD,1,61.58,0,0,0,0,0,0,0,0,,,
Region Pricing 250,BEZ-55BLACKU,"UWZ BEZEL,55 X 55,BLACK",078275152960,0,,20220404,99999999,USD,1,2.71,0,0,0,0,0,0,0,0,,,
Region Pricing 250,BEZ-55GRAYU,"UWZ BEZEL,55 X 55,GRAY",078275152977,0,,20220404,99999999,USD,1,2.22,0,0,0,0,0,0,0,0,,,
Region Pricing 250,BEZ-72PU,"UWZ BEZEL W/ PINS,72 X 72,GRY",078275152984,0,,20220404,99999999,USD,1,3.62,0,0,0,0,0,0,0,0,,,
Region Pricing 250,BIT25-B1S3E-BI,"REF CNT, 3RLY, 2SN, 230V, RS",078275150911,0,,20220404,99999999,USD,1,58.27,0,0,0,0,0,0,0,0,,,
Region Pricing 250,BIT25-B1S3U-BI,"REF CNT, 3RLY, 2SN, 115V, RS",078275150928,0,,20220404,99999999,USD,1,58.27,0,0,0,0,0,0,0,0,,,
Region Pricing 250,BIT25-B1S3W-BI,"REF CNT, 3RLY, 2SN, 100-230V",078275150935,0,,20220404,99999999,USD,1,59.84,0,0,0,0,0,0,0,0,,,
Region Pricing 250,BR1-28C1Q5WH-BI,"REF CNT, 5RLY, 3SN, 100-230V",078275150881,0,,20220404,99999999,USD,1,72.37,0,0,0,0,0,0,0,0,,,
Customer Discount,CD1-024R,COMPRESSOR DEFENDER 120-240V,078275142923,0,D2,20220404,20221231,USD,1,80.21,0,0,0,0,0,0,0,0,,,
Region Pricing 250,CT2000,"CYCLE TIMER, 20A",078275124363,0,,20220404,99999999,USD,1,107.74,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DC-FME-A,"DIAL C0VER,CLEAR",078275155640,0,,20220404,99999999,USD,1,2.75,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DDFM,DEMAND DEFROST MODULE,078275148536,0,,20220404,99999999,USD,1,121.9,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DDT40,DEMAND DEFROST TIMER,078275148543,0,,20220404,99999999,USD,1,216.87,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DT-B,DEFROST TIMER BRACKET,078275127760,0,,20220404,99999999,USD,1,5.41,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DTAV40,AUTO VOLT DEFROST CONTROL,078275125162,0,,20220404,99999999,USD,1,109.65,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DTAV40E2,"AUTO VOLT DEFROST CNTRL, ELEC",078275142817,0,,20220404,99999999,USD,1,130.51,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DTAV40M,"DEFROST TIMER,MECHANISM",078275127678,0,,20220404,99999999,USD,1,109.85,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DTAV40Q,"DEFROST TIMER,QTZ,OUTDOOR ENCL",078275127685,0,,20220404,99999999,USD,1,172.6,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DTAV40Q-M,"DEFROST TIMER, QTZ, MECHANISM",078275141360,0,,20220404,99999999,USD,1,167.43,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DT200LT,"DIGITAL LANDSCAPE TMR,PLUG-IN",078275148901,0,,20220404,99999999,USD,1,34.81,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DT620,DIGITAL LAMP TIMER-PLUG IN,078275125322,0,,20220404,99999999,USD,1,31.99,0,0,0,0,0,0,0,0,,,
Region Pricing 250,DU5S-1I,DISPLAY FOR BD1-28 & BR1-28,078275151574,0,,20220404,99999999,USD,1,20.86,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EH10,TMR-7 DAY ELECT 120V(6PK),078275042896,0,,20220404,99999999,USD,1,97.46,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EH40,TMR-7 DAY ELECT 240V(6PK),078275042902,0,,20220404,99999999,USD,1,73.81,0,0,0,0,0,0,0,0,,,
Customer Discount,EI200,"TIMER,IVORY,5/10/15/30",078275095182,0,D2,20220404,20221231,USD,1,31.28,0,0,0,0,0,0,0,0,,,
Customer Discount,EI200LA,"TIMER,LT ALMND,5/10/15/30 (6)",078275100572,0,D2,20220404,20221231,USD,1,31.28,0,0,0,0,0,0,0,0,,,
Customer Discount,EI200W,"TIMER,WHITE,5/10/15/30 (6)",078275095199,0,D2,20220404,20221231,USD,1,31.28,0,0,0,0,0,0,0,0,,,
Customer Discount,EI205LA,"TIMER,LT ALMOND,5/15/30/45/60",078275108462,0,D2,20220404,20221231,USD,1,30.99,0,0,0,0,0,0,0,0,,,
Customer Discount,EI205W,"TIMER,WHITE 5/15/30/45/60",078275108479,0,D2,20220404,20221231,USD,1,30.98,0,0,0,0,0,0,0,0,,,
Customer Discount,EI210,"TIMER,IVORY,10/20/30/60",078275095229,0,D2,20220404,20221231,USD,1,31.28,0,0,0,0,0,0,0,0,,,
Customer Discount,EI210LA,"TIMER,LT ALMND,10/20/30/60 (6)",078275100589,0,D2,20220404,20221231,USD,1,31.28,0,0,0,0,0,0,0,0,,,
Customer Discount,EI210W,"TIMER,WHITE,10/20/30/60 (6)",078275095236,0,D2,20220404,20221231,USD,1,31.28,0,0,0,0,0,0,0,0,,,
Customer Discount,EI215W,"TIMER,WHITE,1/4,1/2,1,2,4",078275108509,0,D2,20220404,20221231,USD,1,31.28,0,0,0,0,0,0,0,0,,,
Customer Discount,EI220W,"TIMER,WHITE,1/2/4/8",078275095274,0,D2,20220404,20221231,USD,1,31.28,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EI230W,"TIMER,WHITE,2/4/8/12",078275095298,0,,20220404,99999999,USD,1,31.62,0,0,0,0,0,0,0,0,,,
Customer Discount,EI235W,15/30/45/60 MINUTE TIMER WHITE,078275111202,0,D2,20220404,20221231,USD,1,31.28,0,0,0,0,0,0,0,0,,,
Customer Discount,EI400C,WALL TIMER,078275101371,0,D2,20220404,20221231,USD,1,47.91,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EI400LAC,WALL TIMER,078275101395,0,,20220404,99999999,USD,1,46.63,0,0,0,0,0,0,0,0,,,
Customer Discount,EI400WC,WALL TIMER,078275101388,0,D2,20220404,20221231,USD,1,46.16,0,0,0,0,0,0,0,0,,,
Customer Discount,EI500C,"IN WALL TIMER, IVRY",078275105218,0,D2,20220404,20221231,USD,1,31.8,0,0,0,0,0,0,0,0,,,
Customer Discount,EI500LAC,"IN WALL TIMER, LT ALMD",078275105225,0,D2,20220404,20221231,USD,1,31.8,0,0,0,0,0,0,0,0,,,
Customer Discount,EI500WC,"IN WALL TIMER,WHT",078275105232,0,D2,20220404,20221231,USD,1,31.8,0,0,0,0,0,0,0,0,,,
Customer Discount,EI600C,WALL TIMER,078275101401,0,D2,20220404,20221231,USD,1,52.23,0,0,0,0,0,0,0,0,,,
Customer Discount,EI600LAC,WALL TIMER,078275101425,0,D2,20220404,20221231,USD,1,52.23,0,0,0,0,0,0,0,0,,,
Customer Discount,EI600WC,WALL TIMER,078275101418,0,D2,20220404,20221231,USD,1,52.23,0,0,0,0,0,0,0,0,,,
Customer Discount,EJ600,DIGITAL ASTRONOMIC TIMER,078275127876,0,D2,20220404,20221231,USD,1,37.2,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EJ600A,DIGITAL ASTRONOMIC TIMER,078275127883,0,,20220404,99999999,USD,1,37.62,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4027S,347 VAC PHOTOCONTROL BUTTON,078275152366,0,,20220404,99999999,USD,1,18.74,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4035S,480 VAC PHOTOCONTROL BUTTON,078275152397,0,,20220404,99999999,USD,1,20.88,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4036S,"P/C,  ELECTRONIC, BUTTON STYLE",078275146280,0,,20220404,99999999,USD,1,13.61,0,0,0,0,0,0,0,0,21.82,23.44,25.86
Region Pricing 250,EK4127S,347 VAC PHOTOCONTROL STEM MNT,078275152373,0,,20220404,99999999,USD,1,19.49,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4135S,480 VAC PHOTOCONTROL STEM MNT,078275152403,0,,20220404,99999999,USD,1,21.93,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4136S,"P/C, ELEC, SIDE LENS, STEM MNT",078275146297,0,,20220404,99999999,USD,1,14.36,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4227S,347 VAC PC SIDE LENS/STEM-SWVL,078275152380,0,,20220404,99999999,USD,1,20.83,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4235S,480 VAC PC SIDE LENS/STEM-SWVL,078275152410,0,,20220404,99999999,USD,1,24.02,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4236S,"P/C, ELEC,SIDE LENS SWIVEL MNT",078275146303,0,,20220404,99999999,USD,1,15.69,0,0,0,0,0,0,0,0,,26.88,28.24
Region Pricing 250,EK4336S,P/C W/WALL PLATE,078275148314,0,,20220404,99999999,USD,1,16.51,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4436SM,"PHOTOCONTROL, ELECT,METAL",078275148406,0,,20220404,99999999,USD,1,23.1,0,0,0,0,0,0,0,0,,,
Customer Discount,EK4536,ELECT PHOTO CONTROL 120-277V,078275130173,0,D2,20220404,20221231,USD,1,11.4,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4537,"PHOTCONT-ELEC,6AEBLST,347-480V",078275148970,0,,20220404,99999999,USD,1,19.71,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EK4736S,"P/C, ELEC, TOP LENS SWIVEL MNT",078275146310,0,,20220404,99999999,USD,1,15.69,0,0,0,0,0,0,0,0,,,
Customer Discount,ELC4536,ELECT PHOTO CONTROL 120-277V,078275142961,0,D2,20220404,20221231,USD,1,7.82,0,0,0,0,0,0,0,0,,,
Region Pricing 250,EP100C,24 HR ELECTRONIC TIME SWITCH,078275143654,0,,20220404,99999999,USD,1,111,0,0,0,0,0,0,0,0,,,
Customer Discount,ET-NF,"NOISE FILTER, SNUBBER",078275141148,0,D2,20220404,20221231,USD,1,6.24,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ETBATT-1,"BATTERY TRAY DOOR, ET SERIES",078275149298,0,,20220404,99999999,USD,1,12.77,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ETCB28253PCR,ELEC AP CONTRACTOR BOX,078275152472,0,,20220404,99999999,USD,1,391.39,0,0,0,0,0,0,0,0,,,
Customer Discount,ET1105C,"ELECTRONIC T/S SPST,24 HOUR",078275109933,0,D2,20220404,20221231,USD,1,162.93,0,0,0,0,0,0,0,0,,,
Customer Discount,ET1125C,"ELECTRONIC T/S SPDT,24 HOUR",078275109957,0,D2,20220404,20221231,USD,1,183.3,0,0,0,0,0,0,0,0,,,
Customer Discount,ET1705C,"ELECTRONIC T/S SPST,7 DAY",078275109841,0,D2,20220404,20221231,USD,1,181.01,0,0,0,0,0,0,0,0,,,
Customer Discount,ET1725C,"ELECTRONIC T/S DPST,7 DAY",078275109865,0,D2,20220404,20221231,USD,1,203.65,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2105C,"T/S-ELEC,1CH,24HR,INDOOR ENCL",078275147959,0,,20220404,99999999,USD,1,166.5,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2105CP,"T/S-ELEC,1CH,24HR,3R PLAS ENCL",078275147973,0,,20220404,99999999,USD,1,183.15,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2105CR,"T/S-ELEC,1CH,24HR,3R STL ENCL",078275147966,0,,20220404,99999999,USD,1,184.81,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2115C,"T/S-ELEC,1CH,24HR,INDOOR ENCL",078275147980,0,,20220404,99999999,USD,1,169.42,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2115CP,"T/S-ELEC,1CH,24HR,3R PLAS ENC",078275148000,0,,20220404,99999999,USD,1,186.36,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2115CR,"T/S-ELEC,1CH,24HR,3R STL ENCL",078275147997,0,,20220404,99999999,USD,1,188.07,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2125C,"T/S-ELEC,2CH,24HR,INDOOR ENCL",078275148017,0,,20220404,99999999,USD,1,187.33,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2125CP,"T/S-ELEC,2CH,24HR,3R PLAS ENCL",078275148048,0,,20220404,99999999,USD,1,206.06,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2125CR,"T/S-ELEC,2CH,24HR,3R STL ENCL",078275148031,0,,20220404,99999999,USD,1,207.95,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2145C,"T/S-ELEC,4CH,24HR,INDOOR ENCL",078275148055,0,,20220404,99999999,USD,1,269.3,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2145CP,"T/S-ELEC,4CH,24HR,3R PLAS ENCL",078275148079,0,,20220404,99999999,USD,1,296.24,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2145CR,"T/S-ELEC,4CH,24HR,3R STL ENCL",078275148062,0,,20220404,99999999,USD,1,298.93,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2705C,"T/S-ELEC,1CH,7DAY,INDOOR ENCL",078275148086,0,,20220404,99999999,USD,1,185.01,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2705CP,"T/S-ELEC,1CH,7DAY,3R PLAS ENCL",078275148109,0,,20220404,99999999,USD,1,203.51,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2705CR,"T/S-ELEC,1CH,7DAY,3R STL ENCL",078275148093,0,,20220404,99999999,USD,1,205.36,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2715C,"T/S-ELEC,1CH,7DAY,INDOOR ENCL",078275148116,0,,20220404,99999999,USD,1,194.28,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2715CP,"T/S-ELEC,1CH,7DAY,3R PLAS ENCL",078275148130,0,,20220404,99999999,USD,1,213.69,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2715CR,"T/S-ELEC,1CH,7DAY,3R STL ENCL",078275148123,0,,20220404,99999999,USD,1,215.64,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2725C,"T/S-ELEC,2CH,7DAY,INDOOR ENCL",078275148147,0,,20220404,99999999,USD,1,208.15,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2725CP,"T/S-ELEC,2CH,7DAY,3R PLAS ENCL",078275148161,0,,20220404,99999999,USD,1,228.96,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2725CR,"T/S-ELEC,2CH,7DAY,3R STL ENCL",078275148154,0,,20220404,99999999,USD,1,231.04,0,0,0,0,0,0,0,0,,,
Customer Discount,ET2745C,"T/S-ELEC,4CH,7DAY,INDOOR ENCL",078275148178,0,D2,20220404,20221231,USD,1,296.24,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2745CP,"T/S-ELEC,4CH,7DAY,3R PLAS ENC",078275148192,0,,20220404,99999999,USD,1,329.13,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2745CR,"T/S-ELEC,4CH,7DAY,3R STL ENC",078275148185,0,,20220404,99999999,USD,1,332.12,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2805C,"T/S-ELEC,1CH,ASTRO,INDOOR ENCL",078275148208,0,,20220404,99999999,USD,1,205.59,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2805CP,"T/S-ELEC,1CH,ASTRO,3R PLAS ENC",078275148222,0,,20220404,99999999,USD,1,226.15,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2805CR,"T/S-ELEC,1CH,ASTRO,3R STL ENCL",078275148215,0,,20220404,99999999,USD,1,228.21,0,0,0,0,0,0,0,0,,,
