,,,,,,,,,,,,,,,,,
"Ordering
Number",Model No. Reference,Description,FX UL Rating,UPC Code,Master Ctn Qty,Pallet Qty,"E3
Opening Price - NEW","E3
Qty 1 - NEW","E3
Qty 2 - NEW",,,,,,,,
,,,,,,,,,,,,,,,,,
Smoke Alarms,,,,,,,,,,,,,,,,,
120V AC/DC,,,,,,,1-287,288-755,756 +,,,,,,,,
21006931,i12060-A,"120V AC/DC Spring load, Hush, w/Alkaline Batt.(repl 1276A)",-,0 47871 27695 0,6,756, $12.54 , $12.24 , $11.97 ,,,,,,,,
21007582,i5000,120V AC/DC Slide load w/Alkaline Batt. 10yr.Warranty,-,0 47871 07582 9,6,756, $12.09 , $11.79 , $11.54 ,,,,,,,,
21007583,i4618-A,"120V AC/DC Slide load w/Alkaline Batt., 6 pk. (repl 46182)",-,0 47871 07583 6,6,756, $10.59 , $10.34 , $10.12 ,,,,,,,,
21006376,i12060,120V AC/DC Spring load battery door & Hush (repl 1276),-,7 84908 00135 1,6,756, $10.12 , $9.88 , $9.67 ,,,,,,,,
21007581,i4618,120V AC/DC Slide load w/9V Batt. 5yr.Warranty,-,0 47871 07581 2,6,756, $8.55 , $8.55 , $8.55 ,13.65,13.25,12.85,,,,,
21006378,i12040,"120V AC/DC Rear load, front pull tab, Hush (repl 1275)",-,0 47871 40381 3,6,1008, $8.95 , $8.74 , $8.55 ,,,,,,,,
21006379,i12080,"120V AC/DC with Light, Hush (repl 1285)",-,0 47871 40382 0,6,1008, $17.49 , $17.29 , $17.08 ,,,,,,,,
21006371,P12040,"Photoelectric 120V AC/DC, Hush (formerly PE120)",-,0 47871 40399 8,6,1008, $16.54 , $16.54 , $16.54 ,24.85,26.45,,,,,,
21007915-N,PI2010,"120V AC/DC, Photo/Ion Dual Sensor wire-in, Hush",-,0 47871 27130 6,6,756, $32.14 , $31.77 , $31.40 ,,,,,,,,
,,Bulk Packs,,,,,,,,,,,,,,,
