CAT. NO.,"UPC #
0-92644+",DESCRIPTION,"STD.
PKG.","MIN.
ORDER
QTY.",UNIT,LIST,"Minimum
Advertised
Price (MAP)","BRKN
PKG.
PRICE","STD.
PKG.
PRICE","KleinTools.com
Link",Product #,,
A000,32001-9,Midget Screwdriver,6,1,EA,7.54,4.99,4.52,3.77,A000,A000,,
A116-2,32003-3,"Pocket Clip Screwdriver, 3/32-Inch Tip, 2-Inch",12,1,EA,7.56,4.99,4.54,3.78,A1162,A1162,,
A116-3,32004-0,"3/32-Inch Cabinet Tip Screwdriver, 3-Inch Shank",12,1,EA,9.08,5.99,5.45,4.54,A1163,A1163,,
A130-2,32006-4,1/8-Inch Pocket Clip Screwdriver 2-Inch Shaft,12,1,EA,7.56,4.99,4.54,3.78,A1302,A1302,,
A130-3,32007-1,"Screwdriver, 1/8-Inch Cabinet, Pocket Clip, 3-Inch",12,1,EA,9.16,5.99,5.50,4.58,A1303,A1303,,
A131-2,32009-5,1/8-Inch Keystone Tip Screwdriver with Pocket Clip,12,1,EA,7.56,4.99,4.54,3.78,A1312,A1312,,
A216-10,32012-5,1/8-Inch Cabinet Tip Screwdriver 10-Inch Shank,6,1,EA,12.10,7.99,7.26,6.05,A21610,A21610,,
A216-3,32014-9,1/8-Inch Cabinet Tip Screwdriver 3-Inch Shank,6,1,EA,9.16,5.99,5.50,4.58,A2163,A2163,,
A216-4,32015-6,1/8-Inch Cabinet Screwdriver 4-Inch Round Shank,6,1,EA,9.28,5.99,5.57,4.64,A2164,A2164,,
A216-6,32017-0,"Screwdriver, 1/8-Inch Cabinet Tip, 6-Inch",6,1,EA,9.54,6.29,5.72,4.77,A2166,A2166,,
A216-8,32019-4,1/8-Inch Cabinet Tip Screwdriver 8-Inch Shank,6,1,EA,10.62,6.99,6.37,5.31,A2168,A2168,,
A316-10,32021-7,3/16-Inch Cabinet Tip Screwdriver 10-Inch Shank,6,1,EA,14.38,9.49,8.63,7.19,A31610,A31610,,
A316-4,32024-8,3/16-Inch Cabinet Tip Screwdriver 4-Inch Shank,6,1,EA,10.56,6.99,6.34,5.28,A3164,A3164,,
A316-6,32026-2,3/16-Inch Cabinet Tip Screwdriver 6-Inch Shank,6,1,EA,11.34,7.49,6.80,5.67,A3166,A3166,,
A316-8,32028-6,"3/16"" Cabinet Tip Screwdriver 8"" Shank",6,1,EA,13.72,8.99,8.23,6.86,A3168,A3168,,
AEPJS1,69055-6,Wireless Jobsite Speaker,4,1,EA,56.00,39.97,33.60,28.00,AEPJS1,AEPJS1,,
AEPJS2,29113-5,Bluetooth® Speaker with Magnetic Strap,4,1,EA,56.00,39.97,33.60,28.00,AEPJS2,AEPJS2,,
