Model Number,Item Name,Description,UPC Code,Estimated Lead Time (Days),List Price,My Price,Future Price Effective Date,Future List Price,Future My Price,Note on Estimated Lead Time,,,,,,,,
AM-CK-1,ARCHITECTURAL MATTE KEYCHAIN,,027557813679,2,20.00,10.00,2022-07-11,20.00,10.00,Ships in 1-2 weeks,,,,,,,,
AMTL-CK-1,ARCHITECTURAL METAL SAMPLE,PORTFOLIO,027557103671             ,2,100.00,50.00,2022-07-11,100.00,50.00,Ships in 1-2 weeks,,,,,,,,
AY-103P-AL,ARIADNI 1000W 3WY,"Ariadni Dimmer | Dim from one, switch from other locations| 1000W | Color- Almond",027557121255             ,2,80.50,40.25,2022-07-11,80.50,40.25,Ships in 1-2 weeks,,,,,,,,
AY-103P-BL,ARIADNI 1000W 3WY,"Ariadni Dimmer | Dim from one, switch from other locations| 1000W | Color- Black",027557190367             ,2,80.50,40.25,2022-07-11,80.50,40.25,Ships in 1-2 weeks,,,,,,,,
AY-103P-BR,ARIADNI 1000W 3WY,"Ariadni Dimmer | Dim from one, switch from other locations| 1000W | Color- Brown",027557683302             ,2,80.50,40.25,2022-07-11,80.50,40.25,Ships in 1-2 weeks,,,,,,,,
AY-103PH-AL,ARIADNI 1000W 3WY,"Ariadni Dimmer | Dim from one, switch from other locations| 1000W | Color- Almond",027557224000             ,2,80.50,40.25,2022-07-11,80.50,40.25,Ships in 1-2 weeks,,,,,,,,
AY-103PH-BL,ARIADNI 1000W 3WY,"Ariadni Dimmer | Dim from one, switch from other locations| 1000W | Color- Black",027557190381             ,2,80.50,40.25,2022-07-11,80.50,40.25,Ships in 1-2 weeks,,,,,,,,
AY-103PH-BR,ARIADNI 1000W 3WY,"Ariadni Dimmer | Dim from one, switch from other locations| 1000W | Color- Brown",027557508735             ,2,80.50,40.25,2022-07-11,80.50,40.25,Ships in 1-2 weeks,,,,,,,,
AY-103PH-IV,ARIADNI 1000W 3WY,"Ariadni Dimmer | Dim from one, switch from other locations| 1000W | Color- Ivory",027557690065             ,2,80.50,40.25,2022-07-11,80.50,40.25,Ships in 1-2 weeks,,,,,,,,
AY-103PH-WH,ARIADNI 1000W 3WY,"Ariadni Dimmer | Dim from one, switch from other locations| 1000W | Color- White",027557690058             ,2,80.50,40.25,2022-07-11,80.50,40.25,Ships in 1-2 weeks,,,,,,,,
