"Effective February 15, 2022 - freight prepaid is $600",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Part number, Size , February 15 2022 List ,Trade Net,Less than $600 Order,$600 or more order,Bulk Net Each, Bulk/ Pcs per pkg ,UPC Number 722170,,,,,
,,,,,,,,,,,,,
BITS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG357 NAIL BOMBER MOLYBDENUM COATED,,,,,,,,,,,,,
HEAVY DUTY SHIP AUGER BITS,,,,,,,,,,,,,
"8"" OAL x 5"" Twist Length",,,,,,,,,,,,,
357DLX.0816QC," 1/2"" ", $29.33 , $24.93 , $13.20 , $11.88 , $10.66 ,120,35714,,,,,
357DLX.0916QC," 9/16"" ", $31.07 , $26.41 , $13.80 , $12.58 , $11.19 ,120,35715,,,,,
357DLX.1016QC," 5/8"" ", $31.17 , $26.49 , $14.03 , $12.62 , $11.22 ,60,35716,,,,,
357DLX.1116QC," 11/16"" ", $32.25 , $27.41 , $14.51 , $13.06 , $11.61 ,60,35717,,,,,
357DLX.1216QC," 3/4"" ", $34.03 , $28.92 , $15.31 , $13.78 , $12.25 ,60,35718,,,,,
357DLX.1316QC," 13/16"" ", $37.72 , $32.06 , $16.97 , $15.28 , $13.58 ,60,35719,,,,,
357DLX.1416QC," 7/8"" ", $39.56 , $33.62 , $17.80 , $16.02 , $14.24 ,60,35720,,,,,
357DLX.1516QC," 15/16"" ", $47.13 , $40.06 , $21.21 , $19.09 , $16.97 ,60,35721,,,,,
357DLX.1616QC," 1"" ", $49.59 , $42.16 , $22.32 , $20.09 , $17.85 ,60,35722,,,,,
357DLX.1816QC," 1-1/8"" ", $55.00 , $46.75 , $24.75 , $22.27 , $19.80 ,30,35723,,,,,
357DLX.2016QC," 1-1/4"" ", $65.44 , $55.63 , $29.45 , $26.50 , $23.56 ,30,35724,,,,,
357DLX.2216QC," 1-3/8"" ", $79.14 , $67.27 , $35.61 , $32.05 , $28.49 ,30,35725,,,,,
