"MORRIS PRICING EFFECTIVE May 13, 2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bar Code#,key,UNSPS Code,Page#,Morris Cat #,Min Piece   Order Qty,Item Description,Price Per,Broken Case Price,PVC Cement                                 1-19 Cases                            Ships UPS,PVC Cement            Pickup/Will Call,PVC Cement                     20+ Cases                  Assorted ,Qty Per Case,,,,,,,
1,038753118307,,,J6,G11830,1,"1/2"" to 1"" Galvanized Flashing",Piece,11.10,10.07,7.50,6.83,12,,,,,,,
2,038753118314,,,J6,G11831,1,"1/2"", 3/4"", 1"" Galv Flashing",Piece,24.47,22.22,16.55,15.04,12,,,,,,,
3,038753118338,,,J6,G11833,1,"1/2"", 3/4"", 1"" Alum Flashing",Piece,30.04,27.28,20.34,18.49,12,,,,,,,
4,038753118406,,,J6,G11840,1,"1.25"" GALV FLASHING",Piece,10.42,9.49,7.03,6.39,12,,,,,,,
5,038753118536,,,J6,G11853,1,"2"" Galvanized Flashing",Piece,10.74,9.78,7.26,6.60,12,,,,,,,
6,038753118666,,,J6,G11866,1,"3"" Galvanized Flashing",Piece,14.85,13.50,10.04,9.14,12,,,,,,,
7,038753118710,,,J6,G11871,1,"1-1/2"", 2"", 3"" Galv Flashing",Piece,8.89,8.08,6.05,5.49,12,,,,,,,
8,038753118796,,,J6,G11879,1,"4"" Galvanized Flashing",Piece,16.00,14.57,11.03,10.03,12,,,,,,,
9,038753119083,,,J5,G11908,1,"1-1/4"" to 1-1/2""Therm Flashing",Piece,8.00,7.27,5.50,5.04,12,,,,,,,
10,038753119090,,,J5,G11909,1,"2"" to 2-1/2"" Therm Flashing",Piece,7.95,7.21,5.47,4.97,12,,,,,,,
11,038753119106,,,J5,G11910,1,"3"" Thermoplastic Roof Flashing",Piece,7.96,7.23,5.49,4.99,12,,,,,,,
