Producto Electric,,,,,,,,,,,,,
,,,,,,,,,,,,,
Price Schedule,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Effective July 1, 2022",,,,,,,,,,,,,
,,,,,,,,,,,,,
Class,Part No.,Description,Net/c,Unit Pkg.,Std. Pkg.,UPC,,,,,,,
Entrance Cap,4L,3-#8 TO 3-#1 ALUMINUM SERVICE ENTRANCE CAP,$375.00,,50,17230,,,,,,,
Entrance Cap,4XL-AL,1/0 TO 4/0 ALUMINUM SERVICE ENTRANCE CAP,$932.00,,10,17235,,,,,,,
Entrance Cap,4P,3-#8-6-4-2 PVC SERVICE ENTRANCE CAP,$405.00,,50,17215,,,,,,,
Entrance Cap,4XL,3# 2/0 TO 4/0 PVC SERVICE ENTRANCE CAP,$670.00,,10,17225,,,,,,,
Duplex Connector,6,"3/8"" ZINC DUPLEX CONNECTOR",$56.00,25,250,26031,,,,,,,
BX Connector,8,"3/8"" ZINC SINGLE SCREW DUPLEX BX CONNECTOR",$75.00,25,250,26038,,,,,,,
Ground Clamp,7C,"1"" BRONZE GROUND CLAMP WITH 1/2"" HUB",$382.00,10,100,10090,,,,,,,
Ground Clamp,B7C,"1"" BRONZE GROUND CLAMP WITH 1/2"" HUB - BRASS SCREWS",$472.00,10,100,10092,,,,,,,
Ground Clamp,9C,"2"" BRONZE GROUND CLAMP WITH 1/2"" HUB",$725.00,10,50,10094,,,,,,,
Ground Clamp,10C,"2-1/2"" TO 3"" BRONZE GROUND CLAMP WITH 1/2"" HUB","$2,245.00",,10,10096,,,,,,,
Ground Clamp,11C,"4"" TO 6"" BRONZE GROUND CLAMP WITH 1/2"" HUB","$2,424.00",,5,10098,,,,,,,
Ground Clamp,12C,"1"" BRONZE GROUND CLAMP WITH 3/4"" HUB",$526.00,10,100,10100,,,,,,,
Ground Clamp,B12C,"1"" BRONZE GROUND CLAMP WITH 3/4"" HUB - BRASS SCREWS",$577.00,10,100,10102,,,,,,,
Ground Clamp,13C,"2"" BRONZE GROUND CLAMP WITH 3/4"" HUB",$749.00,10,50,10104,,,,,,,
Ground Clamp,14C,"2-1/2"" TO 4"" BRONZE GROUND CLAMP WITH 3/4"" HUB","$2,202.00", ,10,10106,,,,,,,
Ground Clamp,15C,"4"" TO 6"" BRONZE GROUND CLAMP WITH 3/4"" HUB","$2,685.00",,5,10108,,,,,,,
Ground Clamp,19B,"1/2"" TO 1"" BRONZE GROUND CLAMP",$243.00,25,250,42000,,,,,,,
Ground Clamp,B19B,"1/2"" TO 1"" BRONZE GROUND CLAMP - BRASS SCREWS",$368.00,25,250,42005,,,,,,,
Ground Clamp,19BZ,"1/2"" TO 1"" ZINC GROUND CLAMP - BRASS PLATED",$98.00,25,250,42060,,,,,,,
Ground Clamp,19Z,"1/2"" TO 1"" ZINC GROUND CLAMP",$96.00,25,250,42065,,,,,,,
Knock Out Seal,20,"1/2"" STEEL KNOCK-OUT SEAL",$14.00,200,"2,000",81304,,,,,,,
Knock Out Seal,21,"3/4"" STEEL KNOCK-OUT SEAL",$16.00,100,"1,000",81306,,,,,,,
Knock Out Seal,22,"1"" STEEL KNOCK-OUT SEAL",$31.00,100,"1,000",81308,,,,,,,
Knock Out Seal,23,"1-1/4"" STEEL KNOCK-OUT SEAL",$38.00,50,500,81310,,,,,,,
