Rebate Pricing Estimation,Column1,,,,,,,
Account #,30022597,,,,,,,
Rebate #,17984,,,,,,,
Date,07/08/2022,,,,,,,
,,,,,,,,
Line #,Product ID,Quantity,Material on Rebate?,Discount,Current List Price,Into Stock Price,Estimated Rebate Net Price Each,Estimated Rebate Extended Net Price
1,Q115,1,Yes,94.45%,$86.00,$6.45,$4.77,$4.77
2,Q120,1,Yes,94.66%,$86.00,$6.45,$4.59,$4.59
3,Q215,1,Yes,94.49%,$177.50,$13.84,$9.78,$9.78
4,Q220,1,Yes,94.49%,$177.50,$13.84,$9.78,$9.78
5,Q225,1,No,N/A,$177.50,$13.84,N/A,N/A
6,Q230,1,Yes,97.08%,$177.50,$13.84,$5.18,$5.18
7,Q240,1,Yes,94.49%,$177.50,$13.84,$9.78,$9.78
8,Q250,1,Yes,94.49%,$177.50,$13.84,$9.78,$9.78
9,Q260,1,Yes,94.49%,$177.50,$13.84,$9.78,$9.78
10,Q270,1,No,N/A,$361.00,$35.02,N/A,N/A
11,Q280,1,No,N/A,$519.00,$50.34,N/A,N/A
12,Q290,1,No,N/A,$519.00,$50.34,N/A,N/A
13,Q2100,1,No,N/A,$519.00,$42.04,N/A,N/A
14,Q2125,1,No,N/A,"$1,060.00",$102.82,N/A,N/A
15,QN2200,1,No,N/A,"$1,208.00",$144.60,N/A,N/A
16,QS2200,1,No,N/A,$188.00,$115.11,N/A,N/A
17,Q1515NC,1,No,N/A,$310.00,$38.69,N/A,N/A
18,Q2020NC,1,No,N/A,$310.00,$38.69,N/A,N/A
19,QA115AFC,1,Yes,53.97%,$68.50,$44.91,$31.53,$31.53
20,QA115AFCN,1,Yes,53.97%,$68.50,$44.91,$31.53,$31.53
21,QA120AFC,1,Yes,53.97%,$68.50,$44.91,$31.53,$31.53
22,QA120AFCN,1,Yes,53.97%,$68.50,$44.91,$31.53,$31.53
23,Q115DF,1,Yes,57.66%,$87.50,$55.49,$37.05,$37.05
24,Q115DFN,1,Yes,57.66%,$87.50,$55.49,$37.05,$37.05
25,Q120DF,1,Yes,57.66%,$87.50,$55.49,$37.05,$37.05
26,Q120DFN,1,Yes,57.66%,$87.50,$55.49,$37.05,$37.05
27,QF115A,1,Yes,81.01%,$198.00,$52.27,$37.60,$37.60
28,QF115AN,1,Yes,81.01%,$198.00,$45.32,$37.60,$37.60
29,QF120A,1,Yes,81.01%,$198.00,$52.27,$37.60,$37.60
30,QF120AN,1,Yes,81.01%,$198.00,$45.32,$37.60,$37.60
31,QF215A,1,Yes,82.17%,$396.00,$120.98,$70.61,$70.61
32,QF220A,1,Yes,82.17%,$396.00,$120.98,$70.61,$70.61
33,QF230A,1,Yes,82.17%,$396.00,$120.98,$70.61,$70.61
34,QF240A,1,Yes,82.17%,$396.00,$120.98,$70.61,$70.61
35,QF250A,1,Yes,82.17%,$396.00,$120.98,$70.61,$70.61
36,QF260A,1,Yes,82.17%,$396.00,$120.98,$70.61,$70.61
37,E0204ML1060S,1,No,N/A,$110.50,$29.39,N/A,N/A
38,W0204ML1060,1,Yes,85.30%,$199.00,$45.37,$29.25,$29.25
39,E0204ML1125SCU,1,No,N/A,$190.00,$50.54,N/A,N/A
40,W0204ML1125CU,1,Yes,84.00%,$279.00,$82.03,$44.64,$44.64
41,E0202MB1100,1,No,N/A,$433.00,$73.09,N/A,N/A
42,W0202MB1100CU,1,Yes,85.72%,$538.00,$90.81,$76.83,$76.83
43,E0202MB1200,1,Yes,81.77%,$994.00,$167.79,$181.21,$181.21
44,W0202MB1200CU,1,Yes,84.08%,"$1,311.00",$221.30,$208.71,$208.71
45,E0408ML1125S,1,No,N/A,$117.50,$31.25,N/A,N/A
46,W0408ML1125,1,Yes,82.23%,$210.00,$47.88,$37.32,$37.32
47,E0816ML1125S,1,Yes,77.65%,$206.00,$54.80,$46.04,$46.04
48,W0408ML1125,1,Yes,82.23%,$210.00,$47.88,$37.32,$37.32
49,SN1224L1125,1,Yes,58.43%,$109.00,$55.52,$45.31,$45.31
50,SNW1224L1125,1,Yes,57.89%,$172.00,$100.31,$72.43,$72.43
51,SN1224B1100,1,No,N/A,$156.50,$79.72,N/A,N/A
52,SNW1224B1100,1,No,N/A,$265.00,$154.55,N/A,N/A
53,SN1632L1125,1,No,N/A,$125.00,$59.52,N/A,N/A
54,SN2040L1125,1,Yes,58.99%,$150.00,$76.41,$61.51,$61.51
55,SN2040B1100,1,Yes,65.83%,$210.00,$106.97,$71.76,$71.76
56,SN3048L1125,1,Yes,53.14%,$171.00,$81.43,$80.13,$80.13
57,SN3048B1100,1,Yes,62.61%,$235.00,$119.71,$87.87,$87.87
58,SN3048L1200,1,No,N/A,$241.00,$118.11,N/A,N/A
59,SN4040L1200,1,No,N/A,$360.00,$162.54,N/A,N/A
60,SN4040B1200,1,Yes,67.31%,$466.00,$213.01,$152.34,$152.34
61,SN4060B1200,1,Yes,68.42%,$475.00,$217.12,$150.00,$150.00
,,,,,,,Subtotal (excluding tax),"$2,294.49"
,,,,,,,,
,,,,,,,,
**The prices shown are an estimatation based on the current list price as of the date shown above. The actual rebated prices may differ.,,,,,,,,
