,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date: 05/13/22,,,,,CUSTOMER PRICE BOOK,,,,,,,,,,,,,,,
M & M ELECTRICAL SUPPLY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Item Category Code,Item No.,,UPC Code,Description,,Price/E,List Price/E,Item Multipl. Group,,,Master Qty,Inner Qty,,,,,,,,
BX-FLEX-MC,0,,751338100008,A-SHORT #0 35-PCS PER BAG-500 PK,,1.1793,3.1872,ANTI,,,500,1,,,,,,,,
BX-FLEX-MC,0B,,751338100411,A-SHORT BUSH 5000-PK(BULK),,0.0255,0.0688,ANTI,,,5000,0,,,,,,,,
BX-FLEX-MC,1,,751338100107,A-SHORT #1 35-PCS PER BAG-400 PK,,1.3775,3.7229,ANTI,,,400,1,,,,,,,,
BX-FLEX-MC,100,,751338103405,"3/8""FLEX 90DEG CONN 50/500-PK",,0.5762,3.4967,DCHS,,,500,50,,,,,,,,
RIGID,1000,,751338702509,"CONDUIT SUPPORT LAG SCREW 2"" 25-PK",,11.4377,30.9126,CS,,,25,0,,,,,,,,
RIGID,1000A,,751338702516,"2-1/2""CONDUIT SUPPORT LAG SCREW 25PK",,14.8162,40.0439,CS,,,25,0,,,,,,,,
RIGID,1001,,751338702608,WIREHOLDER LIGHT LAGSCREW 1-11/16 - 100PK,,4.8662,13.1520,CS,,,100,0,,,,,,,,
RIGID,1002,,751338702707,"WIREHOLDER MED. LAG SCREW 2-1/4"" 50-PK",,9.0560,24.4756,CS,,,50,0,,,,,,,,
RIGID,1003,,751338702806,"WIREHOLDER HEAVY LAG SCREW 2-1/4""50PK",,9.2626,25.0340,CS,,,50,0,,,,,,,,
RIGID,1004,,751338702905,"WIREHOLDER HEAVY DUTY BOLT 5"" - 25PK",,16.9582,45.8331,CS,,,25,0,,,,,,,,
RIGID,1005,,751338703001,2 ACSR WEDGE GRIP CLAMP - 50PK,,5.2980,14.3190,CS,,,50,0,,,,,,,,
RIGID,1006,,751338703100,1/0 ACSR WEDGE GRIP CLAMP - 25PK,,8.1468,22.0184,CS,,,25,0,,,,,,,,
RIGID,1007,,751338703209,4/0 ACSR WEDGE GRIP CLAMP 25-PK,,9.9479,26.8862,CS,,,25,0,,,,,,,,
RIGID,1008,,751338703223,"2"" SERVICE-MAST WIREHOLDER 25-PK",,14.6146,39.4988,CS,,,25,0,,,,,,,,
FLXC-NLN,100B560,,751338104501,"1"" CORD CONNECTOR GREEN 10/100PK ",,12.1582,32.8601,CORDCNSTL,,,100,10,,,,,,,,
FLXC-NLN,100B650,,751338104600,"1"" CORD CONNECTOR BROWN 10/100PK ",,12.1582,32.8601,CORDCNSTL,,,100,10,,,,,,,,
FLXC-NLN,100B750,,751338104709,"1"" CORD CONNECTOR YELLOW 10/100PK ",,12.1582,32.8601,CORDCNSTL,,,100,10,,,,,,,,
